"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Eliminar los monopolios farmaceúticos,,,,CDMX,1
Campañas de educación sobre temas de salud dirigidas a los padres,,,,CDMX,1
Cuidar la alimentación de los policías,,,,CDMX,1
,,,,CDMX,1
Tener un control de los medicamentos pues se los roban así como material jurídico ,Educación y deportes así como vigilar que los alumnos no cometan violencia ,Que se nos apoye más a las mujeres en el aspecto de la violencia,Libertad y felicidad a todos ,CDMX,2
Primover el plan C,"Dejen de hacer cambios en los libros de la SEP, puras cochinadas hicieron por una persona inexperta",Visitas domiciliarias de trabajo social para verificar que no exista violencia contra las mujeres ,Cursos para que se esté informada toda la población ,CDMX,2
CONAHCYT debe impulsar la investigación de enfermedades ,Construcción de más planteles educativos en comunidades apartadas. De todos los niveles educativos ,Fomentar la capacitación laboral de las mujeres ,Empezar a respetar la diversidad pero también explicarle a ellos que se nace según el ADN y que se tome una decisión ya de adultos ,CDMX,2
Control en Hospitales y clínicas ,Ayuda a madres solteras con hijos menores de 18 años,Se tiene que tomar en cuenta a las mujeres con un buen empleo y valorar su esfuerzo,Educarnos para aceptar a las personas con preferencias diferentes y respetarlas ,CDMX,2
Implementar unidades médicas que lleguen a las comunidades de todo el país ,Modificar el plan de estudios de educación secundaria. Hay asignaturas obsoletas y retrógradas. Humanismo no es igual a altruismo ,Ayuda a madres soltereas de hijos de menores de 18 años,Que se respete a todas las diversidades sociales ,CDMX,2
Debería haber medicamentos en zonas rurales ,Se debe educar desde casa con el ejemplo de todas en el hogar y en las escuelas deben tener libertad de expresión con respeto ,Menos horas de trabajo,Dar cultura a los padres para que a su vez ellos transmitan el respeto a sus hijos con quien los rodeen ,CDMX,2
Garantizar plenamente que los hospitales cuenten con todos los equipos ,"Continuar con foros abiertos, públicos con participación de todos y todas, alumnos, padres de familia, maestros, sociedad en géneral. La desinformación nos lleva a rechazar lo que no se conoce ","Trabajos de cuatro horas para las mujeres para que les de tiempo de dejar a sus hijos, hacer comida, etc",Concientizar el respeto en todos los sentidos incluyendo a las personas con capacidades diferentes ,CDMX,2
Actualmente la farmacéutica y serrvicios de salud están destinados solo a paliar enfermedades no a curarlas,En la erradicación del analfabetismo sería complementario conocer la experiencia que tuvo el país cubano en la integración de la ciudadanía para tal efecto ,"Que se investigue a las damas voluntarias de la Marina, roban mucho dinero con todos los eventos que hacen ","Más educación LGBT, una cosa es el sexo de nacimiento y otra la preferencia sexual ",CDMX,2
Acceso a medicamentos de patente para todos ,Que se ponga más atención a las maestras y maestros y que descansen menos y pongan más atención a los niños ,Ser más solidarias con madres solteras ,Fomentar y mantener la capacitación con programación sobre los temas de la sexualidad ,CDMX,2
Que sean supervisados los servicios de salud y los hospitales ,Que los desayunos se repartan en las primarias y sean más completos y nutritivos para que los niños pongan más atención en la clase y no en su hambre ,Que el sistema de ayuda sea en una estancia porque cuando se pide ayuda a las estancias son muy rígidas,Tener consistencia en el programa de nación 4T,CDMX,2
Insistir en la distribución de medicamentos en el sector salud ,Validar que las becas sean para quienes lo merecen y necesitan ,Que de verdad se apoye a las mujeres,"Derechos y libertad de expresión a todas las generaciones, respeto e igualdad ",CDMX,2
Quitar sistema de Afores que se establezcan normas y que prevalezca seguridad social en el IMSS ,Mejorar el contenido de la equidad de género para que primero acepten su sexo y después definan su preferencia,Que cada mujer que desaparezca se atienda el caso hasta que se encuentre al culpable,Acabar con el machismo y más feminismo,CDMX,2
"Integrar sistemas de tecnologías para facilitar servicios sin eliminar los trámites ""presenciales"" para quienes no usan celular o internet ",Recalcar los valores y las tradiciones así como que no se pierdan las culturas ,"Sin duda las mujeres ya tienen que ser mejores, es su tiempo, ya no es tiempo de sobajarnos a la violencia y al machismo que todavía hay mucho",Respeto e igualdad hacia las mujeres ,CDMX,2
Sensibilizar a todo el personal sobre todo a los médicos ,Ayudar a los docentes a tener mejores condiciones de trabajo con el material necesario para su cátedra.,"Se debería por ley, realizarse examen psicológico antes de casarse para ver qué tanta violencia hay en las personas y si son aptas para el matrinomio y tener hijos ","Que sea mutuo el respeto a la población LGBTTIQ, también deben portarse a la altura ",CDMX,2
Agilizar los estudios para el cáncer pues avanza con mucha facilidad ,hay jefes que solo buscan cerrar plazas en lugar de aprovechar sus grandes capacidades docentes ,"Hombres y mujeres deben defender a mujeres, niños, adultos mayores y cualquier ser vivo que considere que está siendo victimado ",Tener mpas respeto a hablar de personas con gustos diferentes ,CDMX,2
"Fomentar la bioestadística, dar una medicina preventiva, respaldar que se integren epidemiólogos en cada alcadía con sedes de orientación permanente ","Por favor becas a los estudiantes a nivel superior, gracias.","Acabar con el nepotismo en el trabajo, primero está la familia de ellos y no nosotras que estamos trabajando en el territorio",Derecho a las mismas oportunidades y respeto a los semejantes ,CDMX,2
Es importante que así como se vacuna a las criaturas se les dé desde pequeños el servicio psicológico y/o psiquiátrico a los encargados de las infancias ,Más transporte en la noche para los estudiantes del IPN,"Proteger a las mujeres de la violencia política, pero realmente una institución que actúe con prontitud y eficacia","Es importante tener una conciencia acerca del tema de sexualidad, es un tema complicado de entender y aceptarlo",CDMX,2
Se requiere un sistema libre de intereses económicos ,Apoyar con más recursos económicos a estudiantes universitarios ,Educar a las mujeres para que eduquen a sus hijos sin ideologías machistas y que promuevan la igualdad entre sus hijos ,Concientizar a la población es la mejor herramienta ,CDMX,2
Que hayan todos los medicamentos y material de curación ,"No todo se soluciona con becas, que haya profesores decentes al momento de enseñar, que estén preparados para la profesión de maestros","Se debe luvhar por la igualdad, la equidad de género, aplicar la ley ""todos somos iguales ante la ley""",Respeto sí pero no quieran imponernos a este grupo a la población general ,CDMX,2
"Tener alternativas a la medicina, la medicina alópata es mala, la población debería de comer bien y hacer ejercicio, se debería de fomentar en las escuelas un programa de hacer ejercicio en serio ",Más control en educación con respecto al bullying,Se requiere no separar las cosas entre hombres y mujeres para crear un trato igualitario entre ambos ,Respetar su sexualidad de cada quien pero sin caer en el exhibicionismo y sin hablar de este tema a menores de edad solo lo necesario para no provocarles confusión ,CDMX,2
"Dar un buen servicio médico, verificar que los médicos hagan bien su trabajo con buenos diagnósticos ",Exigir el uso correcto al apoyo educativo ,Fortalecer la prevención a la violencia contra las mujeres ,"Educación de género a padres de familia a nivel médico, psicológico principalmente",CDMX,2
"Buscar más personal para atender las instituciones de salyd, brindando salarios que cumplan con sus necesidades, también mejorar el surtido de medicamentos ",La clave es destinar más recursos a la educación y mejores sueldos a los profesores y apoyar a la investigación científica ,"Dignificar cualquier trabajo que realicen las mujeres, valorarles su trabajo y sobre todo, remunerarles el trabajo con dignidad y valor ",La libertad siembre debe ser protegida asi como los derechos humanos ,CDMX,2
"Citas más cercanas para personas de tercera edad por primordialidad siguiendo los niños, mujeres y jóvenes dependiendo la enfermedad",Salarios dignos a los profesores de educación básica ,"Que se le respete a las mujeres y las vean como lo que son, inteligentes y capaces de realizar su trabajo con gran responsabilidad ","Que se garantice y reconozca que no existen ni derechos ni obligaciones exclusivos para alginos ""normales"" sino que todos seamos iguales ",CDMX,2
Todos merecemos una atención digna ,Den más becas por favor,Difusión casa por casa de la violencia de género ,"Que todo sea empezando desde el respeto, la comunicación es muy importante",CDMX,2
"Retomar el sistema de pensiones, no a la AFORE ","Más presupuesto y apoyo a la cultura, seguridad social para los artistas ",Apoyos a las mujeres maltratadas ,"Seamos mejores educadores, nadie nos enseña a ser padres, estamos muy mal con la falta de respeto,, mas educación ",CDMX,2
"Integrar en los centros de salud y hospitales otros métodos de curación, acupuntura, arbolaria, etc ",El gobierno debería de ver en los pueblos donde no hay accesos a la comunicación ,Igualdad ,Dar oportunidad de tener más opciones para laborar y así tener una vida digna ,CDMX,2
Que los médicos sean empáticos ,Fortalecer desde un inicio el respeto hacia nuestros padres,Se implemente auxilio a adultos mayores para el registro civil en actas de nacimiento no registrados ,Que haya más control en la juvevntud ,CDMX,2
"Salud a todos, es nuestro derecho ",Incluir computación como materia obligatoria desde la primaria,Que se puedan dar cursos para que las mujeres se puedan superar y que aprendan a quererse,"Platicar con los jóvenes, enseñarles de confianza ",CDMX,2
Sindicalizar a las instituciones de salud ,Que haya más escuelas superiores de tiempo completo ,"Información a través de campañas continuas, hacer sentir a las mujeres que no están solas",Que exista apoyo para los jóvenes porque muchos están metidos en la drogadicción y el alcoholismo ,CDMX,2
"Deben realizar citas expeditas, faltan médicos especialistas, se deben realizar auditorias ",Ofrecer un buen ambiente escolar para que los niños y jóvenes sigan estudiando ya que no todo se soluciona con una beca,"Más educación en casa para cambiar ideologías ancestrales, empoderar a la mujer ",El que se les respete pero que ellos respeten al hacer sus marchas ,CDMX,2
Ya encuenntro un cambio a favor del pueblo,Tomar en cuenta a la gente,Ayuda para madres solteras pero para menores de 18 años,Normalizar las diferencias ,CDMX,2
Que el ISSTE siga adelante ,"Crear grupos que lleguen a lo más lejano donde hay niños que son analfabetas, es claro que los adultos, jóvenes y mucho más las personas mayores también",Empoderar a las mujeres con proyectos pero darle seguimiento ya que estos proyectos no avanzan por falta de supervisión de las autoridades ,Talleres de salud sexual ,CDMX,2
Que se cumpla con los artículos constitucionales de dar servicios de salud ,Apoyo a las escuelas de manera voluntaria por los padres de familia,Que se haga justicia a las mujeres y dejen de ignorarnos ,"Estoy de acuerdo en que hay que respetar las preferenccias sexuales de todas las personas, pero creo que en el caso de procrear hijos, esto no es posible fisica y biologicamente, por eso creo que en este caso puedes adoptar",CDMX,2
Que les den en las escuelas los desayunos escolares ,Sugiero que haya más limpieza en las escuelas y respeto porque también hay bullying y eso les causa daño a los alumnos,Equidad porque no somos iguales ,Que las personas y la gente no se deje llevar por lo que dice más gente ,CDMX,2
Remodelar los centros de salud ,Promoción a la cultura general y local para la formación cultural ,Fortalecer una educación antipatriarcal con enfoque de género,"Porque tendríamos que tratarlos como algo diferente siguen siendo personas no son ""un algo"".",CDMX,2
Necesitamos un mejor servicio en todas las instancias del IMSS y del ISSTE y en centros de salud ,Prohibir desde casa inclulcar la buena educación por ejemplo las malas palabras,Programas sociales para el empoderamiento económico,"Educación, respeto y libertad a la igualdad de género ",CDMX,2
"Servicio rápido y con garantía en el seguro e ISSTE con buenos médicos y medicinas, apoyo a los enfermos en tiempo y garantía de medicamentos ",Más oportunidades para que los jóvenes sigan estudiando,Educar en las nuevas masculinidades ,"Educación, respeto y libertad   ",CDMX,2
Supervisar que no falten medicamentos en el sector salud ya sea en el IMSS o en el ISSTE,"Toda la confianza a este proyecto, que siga la nueva escuela mexicana",Es muy importante porque nosotras también hacemos un trabajo importante ,Promover el respeto en los tres niveles de gobierno ,CDMX,2
Que le den más atención al ISSTE ya que no hay medicamentos ,"Egresados del INBA que den clases en las escuelas, clases de teatro, de hip hop, considerar que hay niños u jovenes que son más visuales y otros más auditivos",Que haya más trabajo para las mujeres y no violencia ,"Educar, entender, comprender que todos somos seres humanos y por ese hecho merecemos respeto ",CDMX,2
Proyectar la fabricación de medicamentos por injusticia nacional ,"Para que la educación sea de primera, es necesario que los profesores tengan un mejor sueldo",Mayor seguridad y botones de emergencia,Respetando la diversidad de género ,CDMX,2
"Que sean más rápidos los trámites, que den medicamentos apropiados y que las personas que atienden sean más cordiales ",Apoyo en las escuelas con materias más y mejores preparadas y acabar con las plazas de corrupción y nepotismo,Atención especial para las mujeres que padecen discapacidad ,Ser respetado en toda opinión ,CDMX,2
Homologar el servicio de salud ,Retirar la basificación del SNTE y la CNTE,Seguimiento de denuncias de feminicidios y más atención a denuncias de violencia intrafamiliar ,"En todas las comunidades hay diversidad, que sea lo que prive en una relación el respeto ",CDMX,2
Que en todos los centros de salud haya especialistas para que la atención sea la correcta ,Capacitación continua a profesores y profesoras en temas de sensibilización y equidad de género,Atender y respetar las jubilaciones laborales y destituir las afores ,Yo como mujer pido respeto y que no haya tanto machismo porque commo dijo benito juárez el respeto al derecho ajeno es la paz ,CDMX,2
Garantizar el abasto de medicamentos en el sistema de salud,,La violencia a las mujeres ha incrementado ,"No demos importancia a estos temas, hay cosas más importantes ",CDMX,2
Revisar la infraestructura de las instalaciones de los hospitales y centros de salud ,,Que sea justo atender a las mujeres y todos sus problemas,Debemos ser más empáticos con todas las personas que conforman nuestra sociedad ,CDMX,2
Que haya medicamento surtido ,,Que se cumpla con la equidad económica ,Impulsar a las y los jóvenes a una buena educación ,CDMX,2
"Incrementar la cultura de la atención de la salud en toda la población, evitando la atención médica en enfermedades crónicas y aumentar la cultura de la prevención ",,Todas las mujeres tienen derechos igual que los hombres,Que no se excluya a nadie,CDMX,2
Abrir más instituciones públicas para preparar profesionales de la salud,,Que las amas de casa reciban un salario por el trabajo en el hogar ,,CDMX,2
Más médicos de alta especialidad ,,Que los esposos también hagan las labores de la casa ,,CDMX,2
Más pláticas y cursos a todas las edades ,,Becas para personas que son cuidadoras de personas con discapacidad ,,CDMX,2
Se necesita atender y supervisar el funcionamiento del ISSTE y en general de todo el sector salud ,,"Es necesario educar a las infancias para que el futuro no sea tan tenso, si educas desde peqiueño cuando sean grandes será cuestión de recordar",,CDMX,2
Unificar manteniendo un presupuesto bajo sólo nos haría empeorar,,"Dar más amplio seguimiento a denuncuas por alimentación, etc",,CDMX,2
Deben establecerse criterios correctos para pasar a cada nivel hospitalario ,,Integración al trabajo a mujeres de 50 años en adelante para tener ingresos económicos ,,CDMX,2
Que se tenga acceso al medicamento en los estados,,Profundizar las acciones que se han realizado en el país,,CDMX,2
Remodelar los Centros de atención de salud porque están en malas condiciones,,Difusión de las leyes y derechos a favor de las mujeres,,CDMX,2
Más integración de los sistemas de salud IMSS ISSSTE ,,Protección y respeto ante la violencia,,CDMX,2
Supervisión real en el sector salud en cuanto a trato y medicamentos ,,Ser muy concientes que la mujer es un pilar de la nación ,,CDMX,2
"Construcción de hospitales públicos en comunidades, pueblos y rancherías en las zonas más apartadas ",,Vamos por buen camino ,,CDMX,2
Se neceista la reestructuración ya que el esquema de salud está fracturado y rebasado,,Más ayuda a madres solteras,,CDMX,2
Mal servicio en los hospitales ,,Más igualdad en los trabajos ,,CDMX,2
Necesario que de verdad den todos los medicamentos gratuitos por enfermedades crónicas degenerativas ya que hay muchas deficiencias,,Ser más solidarios con las trabajadoras que son madres solteras,,CDMX,2
Organizar el medicamento en el IMSS ,,"Derecho e igualdad para ambos sexos, seguridad y respeto para las mujeres y niños, igualdad para hombres y mujeres",,CDMX,2
Atención prioritaria y de calidad a enfermedades crónicas ,,Es imperante la estabilidad laboral ya que no podemos empoderarnos económicamente si no tenemos un trabajo seguro y permanente,,CDMX,2
Capacitación a todo el personal para servicio y atención de calidad ,,Dar capacitación y derecho a estudiar a todas las mujeres. El trabajo del hogar se puede resolver si el marido comparte los quehaceres y apoya a su esposa ,,CDMX,2
Sensibilizar a los directivos de clínicas y hospitales para una atención digna ,,"No más violencia, ya basta",,CDMX,2
Espacios en donde los pacientes que lo requieran puedan realizar ejercicios de rehabilitación ,,"Que las ""feministas"" respeten a los ciudadanos hombres ya que violentan la convivencia ",,CDMX,2
Que cumplan con todas las propuestas de verdad ,,"Sugiero que terminen con los narcotraficantes y los que cometen feminicidios, secuestradores y rateros ",,CDMX,2
Que ayuden a las personas con diabetes y enfermedades degenerativas ,,Que haya más oportunidades de trabajo,,CDMX,2
También se debe introducir els ervicio de médico en tu casa para pacientes de la tercera edad o muy enfermos que no pueden movilizarse ,,Que haya vigilancia con cámaras en las calles ya que hay mujeres solas,,CDMX,2
"Faltan médicos, estudios y medicamentos ",,Reconocer la igualdad de género y para cargos publicos ,,CDMX,2
"Poner suma atención en las fuerzas armadas en cuanto a los eventos sociales que hacen gastos excesivos en marina, sedena, guardia nacional ",,La violencia de género también es de mujeres contra hombres ,,CDMX,2
"Existen en los servicios de salud pública de la CDMX encargados, directivos, administrativos perpetuados en los cargos haciendo abuso de su autoridad, acosando y hostigando a las trabajadoras que pertenecen al sindicato SNTSA no respetando el derecho a la libre elección ",,Crear fuentes de trabajo acirdes a las necesidades de las madres,,CDMX,2
Que bajen los precios de los medicamentos ,,Que haya más inclusión sin importar la edad en el campo laboral ,,CDMX,2
Que todas las personas sean atendidos rápidamente cuando se trata de que son víctimas de violencia ,,"Es importante que se aclare de alguna manera el ""empoderamiento"" de las mujeres para que no se confunda nadie",,CDMX,2
Pagar más a los doctores ,,,,CDMX,2
No mercantilizar la salud,,,,CDMX,2
"Supervisar al personal que trabaja en el sector salud, luego se pasan, platican mientras personas están enfermas y no las atienden ",,,,CDMX,2
Que la atención a la salud no sea discriminatorio para los seres humanos ,,,,CDMX,2
Fortalecer el sistema de salud implementando mecanismos de participación popular ,,,,CDMX,2
"La salud es un derecho no un privilegio, todas, todos y todes merecemos servicio médico gratuito y de buena calidad, medicamentos gratuitos sin hacer filas largas ",,,,CDMX,2
Necesitan mandar más presupuesto para medicamentos ,,,,CDMX,2
Medicamentos de calidad ,,,,CDMX,2
Considereo que también el control de medicamentos sería buena idea pero también promover el uso de vitaminas para el fortalecimiento del sistema inmunológico,,,,CDMX,2
Se requiere que las plazas de medicina estén entregadas al personal médico capacitado para dar cursos,,,,CDMX,2
"Renovar el sistema de salud para reducir tiempos de atención a la población, reducción de tiempos en citas, seguimiento de las enfermedades de los pacientes ",,,,CDMX,2
Medicamentos gratis y laboratorios especializados ,,,,CDMX,2
"Soy una persona con asma y si no está cerca el servicio mi vida corre peligro. Mi enfermedad requiere antencion si no, puedo estar muy mal ",,,,CDMX,2
Para mi la encuesta es innecesaria ya que los políticos tendrían que estar al pendiente de lso hospitales ,,,,CDMX,2
"Tengo un familiar enfermo, está fallando el abasto de medicina para el cancer. Son de vital importancia estos tratamientos, la enfermedad no espera. No hay medicina en el hospital La Raza ",,,,CDMX,2
Que no se privatice la salud ,,,,CDMX,2
"Una política integral y puntial en la actualidad, ya que ningun servicio es suficiente, todas las dependencias de salud son decrépitas y no se resuelve nada ",,,,CDMX,2
Una propuesta seria que el gobierno sacara yn proyecto para acabar con todas estas carencias ,,,,CDMX,2
"Muy mal la cuestión de salud, mal coordinado ya que no hay medicamento, no hay la atención hacia el ciudadano ",,,,CDMX,2
"Es importante fortalecer las pequeñas clínicas que existen en cada pueblo, ya que en algunos lugares no cuentan con un médico, a veces son atendidos por la enfermera y hay escasez en medicamentos ",,,,CDMX,2
"En muchas ocasiones he pedido que se haga un centro de salud donde está ""el sapito"" ",,,,CDMX,2
Estaría bien que todos los que somos de Cuautepec nos pasen a especialidades al politécnico ya que nos mandan hasta Cuitláhuac y Tacuba,,,,CDMX,2
"Tener en cuenta el nivel educativo de los doctores para una mejor salud, más medicamentos ",,,,CDMX,2
"Cambien al personal, es muy déspota, necesitamos más humildad en el ISSTE",,,,CDMX,2
Tener más orden en hospitales pues luego no tienen orden para repartir medicinas,,,,CDMX,2
Primordial revisar los tiempos de espera en fila para la atención médica,Que se den clases de náhuatl nuestras lenguas nacionales y defender las lenguas,Promover para todas las mujeres desde pequeña es una cultura de conocimiento en actividades sexualidad y autoestima Y autocuidado,Meter educación inclusiva desde temprana edad homologar las leyes a nivel nacional por los derechos de la comunidad LGBTIQ más a hacer leyes más se verá si en contra de la discriminación en general,CDMX,3
Que estén al pendiente de que los trabajos no se diven los médicos,Es necesario tenga que tener por objetivo a los necesitados,Aparte del sistema de cuidados o en las guarderías son una deuda deben depender de las instituciones del Estado no de una situación personal,Los exámenes de violencia ideologías de odio provienen de las clases dominantes en los sistemas de propiedad privada de las redes de producción como capitalismo si bien debe darse pasos hacia la creación de Del liberalismo existe un término que posiblemente pueda iniciar la integración de las distintas situaciones sexuales y expresiones de género como lo es la aceptación de la Variedad puesto que la homosexualidad bisexualidad y demás son orientaciones sexuales naturales al parejo de la heterosexualidad,CDMX,3
Todo lo propuesto por nuestro preside....no para el crecimiento del ser humano,Respecto de la cultura de los pueblos originarios rescate de conocimientos ancitrales,Centros de capacitación continuos para las mujeres en horarios diversos Gabriela colin Vargas,Creo que debe haber mucho respeto a todas y todos y todo es porque hasta en nuestra propia familia hay alguien con diversidad sexual y se les recrimina,CDMX,3
Necesitamos más centros de salud hospitales necesitamos más enfermeras mas doctores que no se han rechazado los aspirantes al área de Ciencias de la salud necesitamos una salud preventiva,Emprender la propuesta de nuestras etnias indígenas,Que realmente llegue a cabo lo que pedimos y cumplan con todo gracias,Efectivamente para evitar la discriminación es la educación,CDMX,3
Necesitamos más servicios de salud gratuitos,Mejorar el mobiliario adecuando la luz y todo el entorno para mejorar la educación,El trabajo doméstico porque ni se reconoce ni Se remunera,Prevención sexual así las enfermedades y transmisión sexual,CDMX,3
Es urgente que los servicios médicos en las empresas como Pemex tengan medicamentos y los médicos sean más profesionales,Mi opinión en las que han pocos niños debieran de motivar a preparar a los alumnos para hacer más deporte ya que las escuelas son grandes y preparar la escuela a los dias sábados para hacer deporte,Manejo de la Secretaría de mujeres a ....a nivel básico en todas las entidades,La educación es primordial para que no exista la discriminación del bullying que ha conducido al suicidio o asesinatos,CDMX,3
Exigir un mejor servicio en el Seguro Social,Como gobierno a las personas con beca que tengan calificaciones,Creación de un Centro de Investigación público de temas de género inclusión urgente a los estudios de género en toda la institución educativa,No propagar el lesbianismo no en firmar la mente infantil,CDMX,3
Hacer un enfoque preventivo a las distintas enfermedades que padezca gran mayoría de la población mexicana,Si la formación que integra las culturas cívicas democráticas participativa para la población mexicana y revalorizar nuestra identidad cultural y soberanía nacional con la participación de padres de familia comunidad colonias pueblos etcétera dos incluir e integrar la inteligenc....que nos constituye como seres humanos,Enseñar desde la casa el respeto a todas las personas y a la propiedad privada,Discernir los tipos de violencia no atacará a nadie por su género sean felicidad y homicidios atacar las causas de la violencia los orígenes con claro analisis de los distintos niveles y formas de violencia,CDMX,3
Dar menos tiempo a la medicina de patente,Vamos con todo porque los niños los necesitan si queremos jóvenes fuertes y seguros de sí mismos no caigan en la necesidad de los mediocres vamos con todo mi presidente,Sistema de Justicia se aplica a los a....res tipifique con más años de prisión,Encender que los derechos y las obligaciones de nuestras leyes deben ser para todos los mexicanos no importando el sexo o género autopercibido,CDMX,3
Que sea gratuito para quien menos tiene,Que cada escuela primaria y secundaria cuente con psicologos de planta que atienda los problemas de niños y niñas con el objeto de prevenir adicciones lo que se convierten en delincuentes,Suplicidad de penas a quienes cometan feminicidio,Todos somos mexicanos y debemos tener los mismos obligaciones y derechos,CDMX,3
Todas las propuestas están muy bien,Bibliotecas fisicas y digitales,Educar a las niñas para que se sienta....an a cuidar su cuerpo y su integridad,Necesitamos respeto desde la casa respetamos a nuestra casa y posteriormente fuera de ella,CDMX,3
Gracias por los apoyos,La concientización sobre el daño del proyecto neoliberal que ha traído a la educación,Fortalecer desde casa educación la equidad la igualdad de género,Evitar el adoctrinamiento de las niñas y niños,CDMX,3
Se tiene que organizar las comunidades en todos los modelos de prevención tanto en la medicina fisiológica y psicológica de una forma integrada y desde la razón,Fortalecimiento y democratización de las universidades públicas,Seguridad para las mujeres,Tomando en cuenta que también ellas y ellos deberían ser empáticos con los demás no sentirse más por ser reconocido,CDMX,3
Si de acuerdo que ha Faltado un poco más de médicos y medicinas,Incentivar profundizar el estudio de las matemáticas para sustentar la tecnología mexicana,Da a conocer los derechos de las muje.... el típico feminismo y transformación,No creo en LGTI+ creo que es una manipulación mental,CDMX,3
También pedir que las los asistentes .... sean más empáticos con los pacientes,Falta en estas propuestas la recuperación de la relación maestros y padres de familia no en lo formal sino en una forma más genuina para que la educación en lo cotidiano sea más fuerte y tenga una verdadera relevancia en nuestra sociedad,Estoy de acuerdo con todo lo que prop....erno actual y nuestro gran presidente,Debe ser orientado en la diversidad de género,CDMX,3
Que los hospitales tengan suficientes medicamentos en las farmacias ya que cuando va 1 a consulta nunca le dan a 1 los medicamentos que requiere y receta el médico esto sucede en cusaem,Involucrar a los padres en educación con participación activa y educación para los trabajadores que requieran capacitarse para acceder a mejores salarios que los empresarios sean parte de esta responsabilidad y Gabriela Vargas colinas,Que haya más atención y cuidados a los niños que ya los padres no maltraten a sus hijos atención psicológica los padres generalmente maltratan a los niños y muchos son abandonados,Respetar a toda la comunidad incluyendo a las personas con discapacidad ellos también tienen derechos a la sexualidad,CDMX,3
