Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
"Tener alternativas a la medicina, la medicina alópata es mala, la población debería de comer bien y hacer ejercicio, se debería de fomentar en las escuelas un programa de hacer ejercicio en serio ",Más control en educación con respecto al bullying,Se requiere no separar las cosas entre hombres y mujeres para crear un trato igualitario entre ambos ,Respetar su sexualidad de cada quien pero sin caer en el exhibicionismo y sin hablar de este tema a menores de edad solo lo necesario para no provocarles confusión 
"Dar un buen servicio médico, verificar que los médicos hagan bien su trabajo con buenos diagnósticos ",Exigir el uso correcto al apoyo educativo ,Fortalecer la prevención a la violencia contra las mujeres ,"Educación de género a padres de familia a nivel médico, psicológico principalmente"
"Buscar más personal para atender las instituciones de salyd, brindando salarios que cumplan con sus necesidades, también mejorar el surtido de medicamentos ",La clave es destinar más recursos a la educación y mejores sueldos a los profesores y apoyar a la investigación científica ,"Dignificar cualquier trabajo que realicen las mujeres, valorarles su trabajo y sobre todo, remunerarles el trabajo con dignidad y valor ",La libertad siembre debe ser protegida asi como los derechos humanos 
"Citas más cercanas para personas de tercera edad por primordialidad siguiendo los niños, mujeres y jóvenes dependiendo la enfermedad",Salarios dignos a los profesores de educación básica ,"Que se le respete a las mujeres y las vean como lo que son, inteligentes y capaces de realizar su trabajo con gran responsabilidad ","Que se garantice y reconozca que no existen ni derechos ni obligaciones exclusivos para alginos ""normales"" sino que todos seamos iguales "
Todos merecemos una atención digna ,Den más becas por favor,Difusión casa por casa de la violencia de género ,"Que todo sea empezando desde el respeto, la comunicación es muy importante"
"Retomar el sistema de pensiones, no a la AFORE ","Más presupuesto y apoyo a la cultura, seguridad social para los artistas ",Apoyos a las mujeres maltratadas ,"Seamos mejores educadores, nadie nos enseña a ser padres, estamos muy mal con la falta de respeto,, mas educación "
"Integrar en los centros de salud y hospitales otros métodos de curación, acupuntura, arbolaria, etc ",El gobierno debería de ver en los pueblos donde no hay accesos a la comunicación ,Igualdad ,Dar oportunidad de tener más opciones para laborar y así tener una vida digna 
Que los médicos sean empáticos ,Fortalecer desde un inicio el respeto hacia nuestros padres,Se implemente auxilio a adultos mayores para el registro civil en actas de nacimiento no registrados ,Que haya más control en la juvevntud 
"Salud a todos, es nuestro derecho ",Incluir computación como materia obligatoria desde la primaria,Que se puedan dar cursos para que las mujeres se puedan superar y que aprendan a quererse,"Platicar con los jóvenes, enseñarles de confianza "
Sindicalizar a las instituciones de salud ,Que haya más escuelas superiores de tiempo completo ,"Información a través de campañas continuas, hacer sentir a las mujeres que no están solas",Que exista apoyo para los jóvenes porque muchos están metidos en la drogadicción y el alcoholismo 
"Deben realizar citas expeditas, faltan médicos especialistas, se deben realizar auditorias ",Ofrecer un buen ambiente escolar para que los niños y jóvenes sigan estudiando ya que no todo se soluciona con una beca,"Más educación en casa para cambiar ideologías ancestrales, empoderar a la mujer ",El que se les respete pero que ellos respeten al hacer sus marchas 
Ya encuenntro un cambio a favor del pueblo,Tomar en cuenta a la gente,Ayuda para madres solteras pero para menores de 18 años,Normalizar las diferencias 
Que el ISSTE siga adelante ,"Crear grupos que lleguen a lo más lejano donde hay niños que son analfabetas, es claro que los adultos, jóvenes y mucho más las personas mayores también",Empoderar a las mujeres con proyectos pero darle seguimiento ya que estos proyectos no avanzan por falta de supervisión de las autoridades ,Talleres de salud sexual 
Que se cumpla con los artículos constitucionales de dar servicios de salud ,Apoyo a las escuelas de manera voluntaria por los padres de familia,Que se haga justicia a las mujeres y dejen de ignorarnos ,"Estoy de acuerdo en que hay que respetar las preferenccias sexuales de todas las personas, pero creo que en el caso de procrear hijos, esto no es posible fisica y biologicamente, por eso creo que en este caso puedes adoptar"
Que les den en las escuelas los desayunos escolares ,Sugiero que haya más limpieza en las escuelas y respeto porque también hay bullying y eso les causa daño a los alumnos,Equidad porque no somos iguales ,Que las personas y la gente no se deje llevar por lo que dice más gente 
Remodelar los centros de salud ,Promoción a la cultura general y local para la formación cultural ,Fortalecer una educación antipatriarcal con enfoque de género,"Porque tendríamos que tratarlos como algo diferente siguen siendo personas no son ""un algo""."
Necesitamos un mejor servicio en todas las instancias del IMSS y del ISSTE y en centros de salud ,Prohibir desde casa inclulcar la buena educación por ejemplo las malas palabras,Programas sociales para el empoderamiento económico,"Educación, respeto y libertad a la igualdad de género "
"Servicio rápido y con garantía en el seguro e ISSTE con buenos médicos y medicinas, apoyo a los enfermos en tiempo y garantía de medicamentos ",Más oportunidades para que los jóvenes sigan estudiando,Educar en las nuevas masculinidades ,"Educación, respeto y libertad   "
Supervisar que no falten medicamentos en el sector salud ya sea en el IMSS o en el ISSTE,"Toda la confianza a este proyecto, que siga la nueva escuela mexicana",Es muy importante porque nosotras también hacemos un trabajo importante ,Promover el respeto en los tres niveles de gobierno 
Que le den más atención al ISSTE ya que no hay medicamentos ,"Egresados del INBA que den clases en las escuelas, clases de teatro, de hip hop, considerar que hay niños u jovenes que son más visuales y otros más auditivos",Que haya más trabajo para las mujeres y no violencia ,"Educar, entender, comprender que todos somos seres humanos y por ese hecho merecemos respeto "
Proyectar la fabricación de medicamentos por injusticia nacional ,"Para que la educación sea de primera, es necesario que los profesores tengan un mejor sueldo",Mayor seguridad y botones de emergencia,Respetando la diversidad de género 
"Que sean más rápidos los trámites, que den medicamentos apropiados y que las personas que atienden sean más cordiales ",Apoyo en las escuelas con materias más y mejores preparadas y acabar con las plazas de corrupción y nepotismo,Atención especial para las mujeres que padecen discapacidad ,Ser respetado en toda opinión 
Homologar el servicio de salud ,Retirar la basificación del SNTE y la CNTE,Seguimiento de denuncias de feminicidios y más atención a denuncias de violencia intrafamiliar ,"En todas las comunidades hay diversidad, que sea lo que prive en una relación el respeto "
Que en todos los centros de salud haya especialistas para que la atención sea la correcta ,Capacitación continua a profesores y profesoras en temas de sensibilización y equidad de género,Atender y respetar las jubilaciones laborales y destituir las afores ,Yo como mujer pido respeto y que no haya tanto machismo porque commo dijo benito juárez el respeto al derecho ajeno es la paz 
Garantizar el abasto de medicamentos en el sistema de salud,,La violencia a las mujeres ha incrementado ,"No demos importancia a estos temas, hay cosas más importantes "
Revisar la infraestructura de las instalaciones de los hospitales y centros de salud ,,Que sea justo atender a las mujeres y todos sus problemas,Debemos ser más empáticos con todas las personas que conforman nuestra sociedad 
Que haya medicamento surtido ,,Que se cumpla con la equidad económica ,Impulsar a las y los jóvenes a una buena educación 
"Incrementar la cultura de la atención de la salud en toda la población, evitando la atención médica en enfermedades crónicas y aumentar la cultura de la prevención ",,Todas las mujeres tienen derechos igual que los hombres,Que no se excluya a nadie
Abrir más instituciones públicas para preparar profesionales de la salud,,Que las amas de casa reciban un salario por el trabajo en el hogar ,
Más médicos de alta especialidad ,,Que los esposos también hagan las labores de la casa ,
Más pláticas y cursos a todas las edades ,,Becas para personas que son cuidadoras de personas con discapacidad ,
Se necesita atender y supervisar el funcionamiento del ISSTE y en general de todo el sector salud ,,"Es necesario educar a las infancias para que el futuro no sea tan tenso, si educas desde peqiueño cuando sean grandes será cuestión de recordar",
Unificar manteniendo un presupuesto bajo sólo nos haría empeorar,,"Dar más amplio seguimiento a denuncuas por alimentación, etc",
Deben establecerse criterios correctos para pasar a cada nivel hospitalario ,,Integración al trabajo a mujeres de 50 años en adelante para tener ingresos económicos ,
Que se tenga acceso al medicamento en los estados,,Profundizar las acciones que se han realizado en el país,
Remodelar los Centros de atención de salud porque están en malas condiciones,,Difusión de las leyes y derechos a favor de las mujeres,
Más integración de los sistemas de salud IMSS ISSSTE ,,Protección y respeto ante la violencia,
Supervisión real en el sector salud en cuanto a trato y medicamentos ,,Ser muy concientes que la mujer es un pilar de la nación ,
"Construcción de hospitales públicos en comunidades, pueblos y rancherías en las zonas más apartadas ",,Vamos por buen camino ,
Se neceista la reestructuración ya que el esquema de salud está fracturado y rebasado,,Más ayuda a madres solteras,
Mal servicio en los hospitales ,,Más igualdad en los trabajos ,
Necesario que de verdad den todos los medicamentos gratuitos por enfermedades crónicas degenerativas ya que hay muchas deficiencias,,Ser más solidarios con las trabajadoras que son madres solteras,
Organizar el medicamento en el IMSS ,,"Derecho e igualdad para ambos sexos, seguridad y respeto para las mujeres y niños, igualdad para hombres y mujeres",
Atención prioritaria y de calidad a enfermedades crónicas ,,Es imperante la estabilidad laboral ya que no podemos empoderarnos económicamente si no tenemos un trabajo seguro y permanente,
Capacitación a todo el personal para servicio y atención de calidad ,,Dar capacitación y derecho a estudiar a todas las mujeres. El trabajo del hogar se puede resolver si el marido comparte los quehaceres y apoya a su esposa ,
Sensibilizar a los directivos de clínicas y hospitales para una atención digna ,,"No más violencia, ya basta",
Espacios en donde los pacientes que lo requieran puedan realizar ejercicios de rehabilitación ,,"Que las ""feministas"" respeten a los ciudadanos hombres ya que violentan la convivencia ",
Que cumplan con todas las propuestas de verdad ,,"Sugiero que terminen con los narcotraficantes y los que cometen feminicidios, secuestradores y rateros ",
Que ayuden a las personas con diabetes y enfermedades degenerativas ,,Que haya más oportunidades de trabajo,
También se debe introducir els ervicio de médico en tu casa para pacientes de la tercera edad o muy enfermos que no pueden movilizarse ,,Que haya vigilancia con cámaras en las calles ya que hay mujeres solas,
"Faltan médicos, estudios y medicamentos ",,Reconocer la igualdad de género y para cargos publicos ,
"Poner suma atención en las fuerzas armadas en cuanto a los eventos sociales que hacen gastos excesivos en marina, sedena, guardia nacional ",,La violencia de género también es de mujeres contra hombres ,
"Existen en los servicios de salud pública de la CDMX encargados, directivos, administrativos perpetuados en los cargos haciendo abuso de su autoridad, acosando y hostigando a las trabajadoras que pertenecen al sindicato SNTSA no respetando el derecho a la libre elección ",,Crear fuentes de trabajo acirdes a las necesidades de las madres,
Que bajen los precios de los medicamentos ,,Que haya más inclusión sin importar la edad en el campo laboral ,
Que todas las personas sean atendidos rápidamente cuando se trata de que son víctimas de violencia ,,"Es importante que se aclare de alguna manera el ""empoderamiento"" de las mujeres para que no se confunda nadie",
Pagar más a los doctores ,,,
No mercantilizar la salud,,,
"Supervisar al personal que trabaja en el sector salud, luego se pasan, platican mientras personas están enfermas y no las atienden ",,,
Que la atención a la salud no sea discriminatorio para los seres humanos ,,,
Fortalecer el sistema de salud implementando mecanismos de participación popular ,,,
"La salud es un derecho no un privilegio, todas, todos y todes merecemos servicio médico gratuito y de buena calidad, medicamentos gratuitos sin hacer filas largas ",,,
Necesitan mandar más presupuesto para medicamentos ,,,
Medicamentos de calidad ,,,
Considereo que también el control de medicamentos sería buena idea pero también promover el uso de vitaminas para el fortalecimiento del sistema inmunológico,,,
Se requiere que las plazas de medicina estén entregadas al personal médico capacitado para dar cursos,,,
"Renovar el sistema de salud para reducir tiempos de atención a la población, reducción de tiempos en citas, seguimiento de las enfermedades de los pacientes ",,,
Medicamentos gratis y laboratorios especializados ,,,
"Soy una persona con asma y si no está cerca el servicio mi vida corre peligro. Mi enfermedad requiere antencion si no, puedo estar muy mal ",,,
Para mi la encuesta es innecesaria ya que los políticos tendrían que estar al pendiente de lso hospitales ,,,
"Tengo un familiar enfermo, está fallando el abasto de medicina para el cancer. Son de vital importancia estos tratamientos, la enfermedad no espera. No hay medicina en el hospital La Raza ",,,
Que no se privatice la salud ,,,
"Una política integral y puntial en la actualidad, ya que ningun servicio es suficiente, todas las dependencias de salud son decrépitas y no se resuelve nada ",,,
Una propuesta seria que el gobierno sacara yn proyecto para acabar con todas estas carencias ,,,
"Muy mal la cuestión de salud, mal coordinado ya que no hay medicamento, no hay la atención hacia el ciudadano ",,,
"Es importante fortalecer las pequeñas clínicas que existen en cada pueblo, ya que en algunos lugares no cuentan con un médico, a veces son atendidos por la enfermera y hay escasez en medicamentos ",,,
"En muchas ocasiones he pedido que se haga un centro de salud donde está ""el sapito"" ",,,
Estaría bien que todos los que somos de Cuautepec nos pasen a especialidades al politécnico ya que nos mandan hasta Cuitláhuac y Tacuba,,,
"Tener en cuenta el nivel educativo de los doctores para una mejor salud, más medicamentos ",,,
"Cambien al personal, es muy déspota, necesitamos más humildad en el ISSTE",,,
Tener más orden en hospitales pues luego no tienen orden para repartir medicinas,,,
Primordial revisar los tiempos de espera en fila para la atención médica,Que se den clases de náhuatl nuestras lenguas nacionales y defender las lenguas,Promover para todas las mujeres desde pequeña es una cultura de conocimiento en actividades sexualidad y autoestima Y autocuidado,Meter educación inclusiva desde temprana edad homologar las leyes a nivel nacional por los derechos de la comunidad LGBTIQ más a hacer leyes más se verá si en contra de la discriminación en general
Que estén al pendiente de que los trabajos no se diven los médicos,Es necesario tenga que tener por objetivo a los necesitados,Aparte del sistema de cuidados o en las guarderías son una deuda deben depender de las instituciones del Estado no de una situación personal,Los exámenes de violencia ideologías de odio provienen de las clases dominantes en los sistemas de propiedad privada de las redes de producción como capitalismo si bien debe darse pasos hacia la creación de Del liberalismo existe un término que posiblemente pueda iniciar la integración de las distintas situaciones sexuales y expresiones de género como lo es la aceptación de la Variedad puesto que la homosexualidad bisexualidad y demás son orientaciones sexuales naturales al parejo de la heterosexualidad
Todo lo propuesto por nuestro preside....no para el crecimiento del ser humano,Respecto de la cultura de los pueblos originarios rescate de conocimientos ancitrales,Centros de capacitación continuos para las mujeres en horarios diversos Gabriela colin Vargas,Creo que debe haber mucho respeto a todas y todos y todo es porque hasta en nuestra propia familia hay alguien con diversidad sexual y se les recrimina
Necesitamos más centros de salud hospitales necesitamos más enfermeras mas doctores que no se han rechazado los aspirantes al área de Ciencias de la salud necesitamos una salud preventiva,Emprender la propuesta de nuestras etnias indígenas,Que realmente llegue a cabo lo que pedimos y cumplan con todo gracias,Efectivamente para evitar la discriminación es la educación
Necesitamos más servicios de salud gratuitos,Mejorar el mobiliario adecuando la luz y todo el entorno para mejorar la educación,El trabajo doméstico porque ni se reconoce ni Se remunera,Prevención sexual así las enfermedades y transmisión sexual
Es urgente que los servicios médicos en las empresas como Pemex tengan medicamentos y los médicos sean más profesionales,Mi opinión en las que han pocos niños debieran de motivar a preparar a los alumnos para hacer más deporte ya que las escuelas son grandes y preparar la escuela a los dias sábados para hacer deporte,Manejo de la Secretaría de mujeres a ....a nivel básico en todas las entidades,La educación es primordial para que no exista la discriminación del bullying que ha conducido al suicidio o asesinatos
Exigir un mejor servicio en el Seguro Social,Como gobierno a las personas con beca que tengan calificaciones,Creación de un Centro de Investigación público de temas de género inclusión urgente a los estudios de género en toda la institución educativa,No propagar el lesbianismo no en firmar la mente infantil
Hacer un enfoque preventivo a las distintas enfermedades que padezca gran mayoría de la población mexicana,Si la formación que integra las culturas cívicas democráticas participativa para la población mexicana y revalorizar nuestra identidad cultural y soberanía nacional con la participación de padres de familia comunidad colonias pueblos etcétera dos incluir e integrar la inteligenc....que nos constituye como seres humanos,Enseñar desde la casa el respeto a todas las personas y a la propiedad privada,Discernir los tipos de violencia no atacará a nadie por su género sean felicidad y homicidios atacar las causas de la violencia los orígenes con claro analisis de los distintos niveles y formas de violencia
Dar menos tiempo a la medicina de patente,Vamos con todo porque los niños los necesitan si queremos jóvenes fuertes y seguros de sí mismos no caigan en la necesidad de los mediocres vamos con todo mi presidente,Sistema de Justicia se aplica a los a....res tipifique con más años de prisión,Encender que los derechos y las obligaciones de nuestras leyes deben ser para todos los mexicanos no importando el sexo o género autopercibido
Que sea gratuito para quien menos tiene,Que cada escuela primaria y secundaria cuente con psicologos de planta que atienda los problemas de niños y niñas con el objeto de prevenir adicciones lo que se convierten en delincuentes,Suplicidad de penas a quienes cometan feminicidio,Todos somos mexicanos y debemos tener los mismos obligaciones y derechos
Todas las propuestas están muy bien,Bibliotecas fisicas y digitales,Educar a las niñas para que se sienta....an a cuidar su cuerpo y su integridad,Necesitamos respeto desde la casa respetamos a nuestra casa y posteriormente fuera de ella
Gracias por los apoyos,La concientización sobre el daño del proyecto neoliberal que ha traído a la educación,Fortalecer desde casa educación la equidad la igualdad de género,Evitar el adoctrinamiento de las niñas y niños
Se tiene que organizar las comunidades en todos los modelos de prevención tanto en la medicina fisiológica y psicológica de una forma integrada y desde la razón,Fortalecimiento y democratización de las universidades públicas,Seguridad para las mujeres,Tomando en cuenta que también ellas y ellos deberían ser empáticos con los demás no sentirse más por ser reconocido
Si de acuerdo que ha Faltado un poco más de médicos y medicinas,Incentivar profundizar el estudio de las matemáticas para sustentar la tecnología mexicana,Da a conocer los derechos de las muje.... el típico feminismo y transformación,No creo en LGTI+ creo que es una manipulación mental
También pedir que las los asistentes .... sean más empáticos con los pacientes,Falta en estas propuestas la recuperación de la relación maestros y padres de familia no en lo formal sino en una forma más genuina para que la educación en lo cotidiano sea más fuerte y tenga una verdadera relevancia en nuestra sociedad,Estoy de acuerdo con todo lo que prop....erno actual y nuestro gran presidente,Debe ser orientado en la diversidad de género
Que los hospitales tengan suficientes medicamentos en las farmacias ya que cuando va 1 a consulta nunca le dan a 1 los medicamentos que requiere y receta el médico esto sucede en cusaem,Involucrar a los padres en educación con participación activa y educación para los trabajadores que requieran capacitarse para acceder a mejores salarios que los empresarios sean parte de esta responsabilidad y Gabriela Vargas colinas,Que haya más atención y cuidados a los niños que ya los padres no maltraten a sus hijos atención psicológica los padres generalmente maltratan a los niños y muchos son abandonados,Respetar a toda la comunidad incluyendo a las personas con discapacidad ellos también tienen derechos a la sexualidad
Que el Preven IMSS sea universal y nutriólogos para toda la población desde niños hasta la vida me abrir la colin Vargas,Que se fomente y sea una materia de l....ento importante sobre la Constitución,Muchas mujeres se en las relaciones tóxicas muchas veces esto la conduce al feminicidio Que se elejen de estas relaciones así definen su vida,Que sean lo que quieran y más no ridículos y que también luchen por un mejor país ya está solo de quejarse
Es muy costoso para el erario la falta de especialistas una referencia que podría ser una consulta dentro de las siguientes 72 horas se convierte en una urgencia y en hospitalización,Que la cultura La comunidad,Que tengan todos los derechos,Es necesario que los padres y familias eduquen a sus hijos que no esperen que los maestros eduquen a sus hijos y que los chamacos se respiten a los maestros
Ver cursos a la población de cómo preparar alimentos nutritivos,Creación de un Museo de la historia del siglo XX y 21,Dar más ayuda a las madres solteras que sea económica para ella y sus hijos,Respeto para todos
Nacionalización o en su defecto fuerte regulación de los hospitales y clínicas privados para su integración al sistema de salud esto en el marco Del Postulado de la salud como un derecho y no como un negocio,Hacer más inclusiva la educación educación con más civismo educación para la lectura maestros con mejor asesoría educativa,Impulsar en las escuelas la necesidad de colaborar en el engranaje y esclavizante trabajo doméstico con la pandemia del COVID las mujeres responsables en las familias que no enfermaron fueron las que enfermaron y sacaron a las familias adelante número dos educar a las mujeres para que for Men a sus hijos con visión más solidaria en el trabajo doméstico De las educadoras de la familia,Toda la propuesta es muy buena para un mejor crecimiento de los hijos y padres de familia por esos valores con mi presidente y morena viva México viva su pueblo vayamos por todo
Nacionalización de la industria farmacéutica o en su defecto una empresa grande y competitiva propiedad del Estado mejoraría la atención del ISSSTE y un sistema único de salud,Continuar con el sistema de apoyo por becas vincular los planes de estudio con las necesidades de la población internados para estudiantes,Que se fortalezca el seguimiento y asesoramiento de la mujer victimizada,Respeto a la diversidad sexual
Orientar la investigación y atención médica para la prevención de enfermedades y hacerlo hasta obtener una atención médica de Y paralela a la medicina tradicional,Seguimos con lo mismo respeto a los maestros,Que haya mas presupuesto para las personas ancianas enfermas,No estoy de acuerdo con la desviación sexual
