Soberanía energética,Economía con justicia social,Ciencia tecnología y humanismo,Bienestar social,Trabajo,Estado,Distrito
Apoyar los proyectos que hagan crecer al país,Acabar con la corrupción dentro del partido. Los neoliberales siguen dentro de morena con las mismas prácticas es necesario que haya más coherencia,Fomentar y difundir el modelo de educación mexicana en las colonias populares,Apoyo a los indigentes nadie piensa en ellos y apoyo a las personas que aparecen en un rango de edad que no tienen acceso a ningún programa social,Exigir a las empresas extranjeras que crecen al país dar salarios y prestaciones dignas y acordes a los mismos salarios que ofrecen en sus países,CDMX,1
Avanzar en el progreso de la industria energética y eléctrica,Garantizar una remuneración justa para los profesionistas recién egresados y un plan de carrera laboral para el desarrollo científico y tecnológico del país,Concientizar más a las personas en el tema de humanismo y en la empatía para respetar los derechos laborales,Que se regularice el sistema de pensiones,No diferenciar entre hombres y mujeres a la hora de dar puestos de trabajo y pagos,CDMX,1
Que haya más inversión en carreras para el aprovechamiento de los proyectos del ferrocarril y de los energéticos,Se puede crear un programa de vivienda digna mucha gente no cuenta con una casa propia,Es necesario una educación formativa,Que se continúe con los programas sociales y con su compromiso patriótico para que no se desvirtúen los principios que estos programas tienen,Mejorar la economía en El País,CDMX,1
Aumentar la inversión en la investigación en las instituciones creadas para impulsar la creación de tecnología referente a hidrocarburos y minerales raras esto permitirá proyectar y promover la inversión tripartita gobierno iniciativa privada y sociedad civil,Apoyar a los recién egresados a encontrar empleo y que se les dé acceso a una pensión,Becas para todas las escuelas inclusive para las escuelas de bajos recursos y para las escuelas privadas,Que los jóvenes tengan un empleo fort....n general a toda la plantilla laboral,Evitar la corrupción entre ellos los ingresos de parientes o familiares a puestos de trabajo,CDMX,1
Crear un plan de empleos para la regulación de estudiantes en desempleo y adecuar el funcionamiento,Políticas de control de los precios que se presenten a tiendas de autoservicio principalmente en alimentos,Que los jóvenes de Secundaria tengan un proyecto de industrialización que emplee y garantice la innovación científica y concrete la independencia tecnológica del país,Apoyar a los jóvenes que requieren de un buen trabajo con prestaciones sociales y revisar el sistema pensionario,Que haya más difusión de la oferta de trabajo ya que muchas personas no tienen acceso a información,CDMX,1
Es necesario crear empresas dedicadas al ramo de la energía,Continuar con la tarea de combate a la corrupción mediante la tensión de una remuneración más justa,Más presupuesto para los estudiantes de Universidad,Más seguridad en todas nuestras colonias para poder detener a las organizaciones que están cobrando derecho de piso secuestro extorsión,Respetar a las empresas particulares ya establecidas y que estén funcionando dentro del marco legal,CDMX,1
Las empresas privadas no son enemigas del Estado sólo deben poner leyes que vigieren y garanticen su cumplimiento,Capacitar al pueblo para la transformación,Que el presupuesto para la educación sea superior,Elaborar un plan de carrera para los jóvenes profesional estás que se incorporan en el mercado laboral y que todavía no tienen experiencia,Otorgar trabajo a personas que tengan de 30 a 50 años y que no se les despida sin consideración,CDMX,1
Establecer constitucionalmente leyes que protejan de manera incorruptible la protección y defensa de la soberanía nacional mediante candados estrictamente estudiados,Dar más empleos a aquellas personas que tengan conocimiento en materias específicas,Mejorar la inversión del Estado en las universidades públicas y preparatorias auditar los gastos de universidades públicas e instituciones de investigación en todo El País para evitar la corrupción,Fortalecer las políticas de empleo,"Terminar con la subcontratación en la industria privada, las empresas estatales e instituciones públicas",CDMX,1
Es necesario un cobro justo en la luz y en la seguridad de nuestras colonias,Nacionalización de la banca privada y fortalecimiento del Banco de bienestar,Impulsar la ciencia y tecnología desde la primaria con un plan de estudios que promueva la soberanía el amor a la patria y el amor a la naturaleza,Fomentar las empresas corporativas en el campo y en la ciudad,Aumentar el número de microempresas y crear más,CDMX,1
Fortalecer la reforma energética,Que todo el trabajo sea equitativo y todos tengamos el mismo beneficio,Brindar facilidades a las empresas privadas para el acceso a nuevas tecnologías,Garantizar una inclusión de los jóvenes al mercado laboral y incluir materias en los niveles básicos sobre disciplina laboral,"Reconocimiento económico, político, y social de la clase trabajadora más castigada por ejemplo los trabajadores de limpieza",CDMX,1
Da la oportunidad a los jóvenes y a las personas que tengan experiencia evitando en todo momento la fuga de cerebros para impulsar a nuestro país,Impulsar más empresas para generar más empleos,Crear una secretaria de la tecnología,Otorgar apoyos a las amas de casa que necesiten el ingreso y no sólo a sus parientes y simpatizantes,Es necesario desaparecer las afores,CDMX,1
No olvidar que en la explotación del petróleo hay que recuperar también el gas que se quema,Impulsar y apoyar a las empresas realmente creadas en México para ser más independientes y que se mejore la economía,Crear herramientas para la traducción y la comunicación con personas que su lengua materna no sea el castellano,Brindar los programas sociales así como los servidores públicos para no hacer uso de éstos para fines particulares,Dar más oportunidades y mejores prestaciones a las madres solteras trabajadoras,CDMX,1
Seguir apoyando y desarrollando las nuevas tecnologías para la energía,Continuar con la política del presidente de no aumentar impuestos ni crear nuevos impuestos. Es necesario combatir la corrupción y hacer transparente el gasto así como las inversiones y todos los programas que se hagan,Que todos los ciudadanos tengan apoyo en todos los proyectos que se propongan,Es necesario que ya no haya corrupción al interior de morena y es necesario que haya empleo formal bien remunerado,Mejorar las condiciones laborales con mejores remuneraciones y prestaciones para garantizar el fortalecimiento de las familias,CDMX,1
Es necesario hacer una disfunción del plan sonora,La administración pública debe regresar a sus bases fundamentales de eficacia y trato moral en los puestos de trabajo,Impulsar un proyecto de industrialización,Es necesario rescatar las políticas públicas del Estado de bienestar del modelo keynesiano,Vincular el sistema de salud con las políticas laborales,CDMX,1
Es importante blindar los avances para evitar que futuros gobiernos los cambien,Profundizar en la industria blanda y generar un impulso a la industria pesada,No malgastar el presupuesto público,Es importante seguir con el proyecto de apoyo a los jóvenes porque ellos son el futuro de México,Que las mujeres tengan las mismas oportunidades laborales aún no se logran estas políticas públicas reales,CDMX,1
Mayor inversión en proyectos científicos y que se creen las carreras para el proyecto del ferrocarril el litio y los energéticos,,En cada comunidad se debe impulsar el humanismo incluyendo que sea un tema importante en las escuelas,Mejor educacion y mejor empleo para los jóvenes y para los trabajadores,Continuar con proyectos sociales como préstamos y ayuda a los comerciantes,CDMX,1
Aumentar el número de proyectos energéticos,,Crear escuelas tecnológicas desde una educación temprana para inculcar en el individuo facultades para iniciar una carrera que beneficie a nuestro país,Necesitamos empleo,Impulsar un salario digno con prestaciones sociales,CDMX,1
Continuar con la baja en el costo de las gasolinas,,Más oportunidades para tener prestaciones y un trabajo que garantice un buen retiro,Debemos ir a las comunidades más lejanas e impulsar apoyo a los indígenas así como planear que sean autosuficientes e independientes,Creo que es importante checar los estatus laborales de los trabajadores y garantizar el trabajo organizado,CDMX,1
Hay que evitar que los oligarcas usen los energéticos de manera no beneficiosa para el pueblo,,Hacer campañas que hablen sobre el tema para desarrollar la creatividad,Crear apoyos para estudiantes sobre todo en el área de transporte,Aumento del reparto de utilidades de los sindicatos,CDMX,1
Dar trabajo a aquellas personas que han estudiado carreras para el desarrollo de elementos energéticos y que no se vayan a otros espacios,,Desarrollar tecnología que se comprometa con el cuidado con el medio ambiente,,Promover programas para las medianas y pequeñas empresas para que tengan acceso a mejores programas sociales para su desarrollo y puedan dar mejores oportunidades de trabajo,CDMX,1
,,,,Es necesario desaparecer a las intermediarias y apoyar a los campesinos. Es necesario incorporar a la economía a los negocios informales,CDMX,1
,,,,Mejorar los reportes de utilidades,CDMX,1
,,,,Que haya más empleos para jóvenes egresados de cualquier carrera o profesión,CDMX,1
,,,,Que haya más empleo y oportunidades para los jóvenes egresados de cualquier carrera,CDMX,1
,,,,Qué haya trabajo para personas de más de 50 años,CDMX,1
,,,,Nacionalización de las industrias del país,CDMX,1
,,,,Aumento de salarios y baja de horas de trabajo para poder tener tiempo para seguir generando los que no contamos con los recursos,CDMX,1
,,,,Que tengamos oportunidad del trabajo digno,CDMX,1
,,,,Que las personas que hayan estudiado una carrera puedan ser empleadas una vez acabando esta,CDMX,1
,,,,Mejorar la jubilación de los trabajadores del Gobierno.,CDMX,1
,,,,"Que ya no pidan tantos papeles en los trabajos ni experiencia que paguen bien, porque ya todo está muy caro. ",CDMX,1
,,,,Que todos los empleos cuenten con Seguro Social y todas las prestaciones de ley que se cumplan con el bienestar del pueblo y no pidan límite de edad. ,CDMX,1
,,,,40 horas de trabajo para tener descanso dos días y estar con la familia y descanso. ,CDMX,1
,,,,Que bajen las horas laborales.,CDMX,1
,,,,Que los trabajadores conforme trabajen se hagan socios de la empresa donde trabajan una sociedad real no simulada. ,CDMX,1
,,,,Más espacios para los jóvenes que terminan la preparatoria en empresas bien establecidas porque no hay bolsa de trabajo para los jóvenes que terminan la escuela.,CDMX,1
,,,,Creacion de una instancia reguladora de trabajadores del Gobierno. Morena la comisión de honestidad y justicia.,CDMX,1
,,,,Trabajo para los chavos.,CDMX,1
,,,,Que los sindicatos se comprometan a defender a los trabajadores y no se vendan a los patrones y se establezcan leyes para que cumplan los derechos laborales.,CDMX,1
,,,,Respecto de las empresas a la Ley Federal del trabajo y contar con semana inglesa lunes a viernes. ,CDMX,1
,,,,,CDMX,1
Aumentar el uso de energías sustentables como celdas solares,"Seguir los principios del gran líder AMLO no robar, no mentir y no traicionar, y no anteponer deseos personales",Qué la beca Benito Juárez llegue a todos y haya más oportunidades para los jóvenes y no haya más fuga de cerebros al extranjero,Dar mayor oportunidad a los jóvenes,Jubilación y retiro digno,CDMX,2
"Aumentar la generación de electricidad mediante más unidades productivas hidroeléctricas para fortalecer la soberanía energética, mejores precios a consumidores y ayudar a combatir el cambio climático",Qué las riquezas sean para ayudar a los que menos tienen,Eliminar los exámenes de admisión para la UNAM,Me gustaría que hubiera más empleos para personas que tienen pocos estudios y que paguen un poco más del mínimo,Procurar que los sindicatos respondan a la protección de los trabajadores asegurando un pago justo y evitar que los dirigentes sindicales sean eternos,CDMX,2
Paneles solares para iluminación de parques y avenidas,"Seguir como vamos, ayudar a quienes menos tienen que somos el Pueblo","Qué se considere a los estudiantes de escuelas particulares no sólo a los de escuelas de gobierno, ellos salen muy bien preparados",Ampliar el área laboral incluyendo a los jóvenes saliendo de universidades,Realizar un acuerdo entre todos los sectores involucrados,CDMX,2
Más energía por medio de las presas,Me gustaría que hubiera mayores ayudas para personas que tengan enfermedades las cuales no pueden trabajar,Que haya intercambio generacional para que conviva la experiencia con las ideas actuales innovadoras y se logren grandes cambios a nivel académico humanista social industrial,Crear programas de capacitación para incluir más gente en el mercado laboral,"Existen mafias en los sindicatos hay que revisar la legislación en la materia  pues es obsoleta, las plazas ya están dadas",CDMX,2
Acabar con los huachicoleros,Hacer más proyectos para que no haya más corrupción en México,Qué se dé el pago de becas pues se suspendieron y no se sabe que haya becas a nivel superior,"No hay proyectos para que las familias tengan vivienda digna por lo que es necesario dar una de 80 m² con tres recámaras dos baños cocina, lavadero, sala comedor y evitar urbanizaciones irregulares",Fomentar actividades deportivas en los centros de trabajo,CDMX,2
Impulsar las energías limpias por todo el país como la energía solar en industrias y casas,Que apoyen económicamente a las personas que no pueden trabajar por cuidar a algún adulto mayor,"Empecemos a hacer más hospitales, lugares de diálisis, clínicas y rayos X laboratoristas, trabajadores de la salud",Crear y promulgar una ley para establecer un tope de riqueza y que el excedente se aplique en beneficio del pueblo para desarrollar al país y al pueblo,Mejorar salarios a los profesionistas para que no trabajen en otros países buscando mejores oportunidades y mejorar las prestaciones. Exigir que todas las empresas sean socialmente responsables,CDMX,2
Volver a impulsar la investigación volviendo a reactivar el Instituto Mexicano del petróleo ya que es importante invertir en la petroquímica primaria y secundaria para desarrollar productos derivados del petróleo,"Ver el sistema de pensiones, tema de vivienda y apoyo a profesionistas","Que cualquier inversión que se haga responda a necesidades nacionales, es decir necesidades de la mayoría",Más seguridad menos corrupción,Nacionalizar sólo industrias estratégicas y paraestatales,CDMX,2
Apoyar a las viviendas para que se les instalen calentadores solares,Poner un tabulador para poder exigir que los impuestos sean justos,Mejorar los planes académicos en toda la educación para generar mejores profesionistas y supervisar a todo el personal de educación,Institucionalizar el sistema de educación científico y tecnológico paralelo al Conacyt,"Trabajo de ocho horas, descanso sábado y domingo para que haya mayor participación familiar que es la base de la sociedad",CDMX,2
"Hacer más termoeléctricas para generar más energía para el país, trabajar con paneles solares para beneficio de cada hogar",Educación primordial pues sin valores no vamos a avanzar en nada,Apoyar más a los estudiantes,"Exigir a grandes empresarios reparen lo que contaminan y también que proporcionen bienestar a las comunidades que explotan y contaminan, poner más reglas y si no se cumplen retirarlas",Auditorías para que se les dé lo justo a los trabajadores en el reparto de utilidades,CDMX,2
Estoy a favor de todas las iniciativas y sugiero que se haga justicia en los estados petroleros porque no se recupera el medio ambiente social y natural,Propongo que sólo hayan dos partidos uno de izquierda y otro de derecha pero lo ideal es que desaparezca para siempre la derecha,Invertir más en mi beca para empezar y apoyar el futuro mexicano,Fortalecer la limpia de las Calles en todas las alcaldías de la ciudad de México,Aumento del salario en general conforme a la inflación anual ya que sólo se han enfocado en el salario mínimo,CDMX,2
Decomisar lo robado desde el extranjero ya que se usan fondos contra la 4T,Redistribución de la riqueza pero siempre combatiendo la corrupción,Industrializar al país y no depender de maquinaria extranjera que es muy cara sino de máquinas hechas en México,Permitir que personas de 40 años en adelante que quieran y puedan trabajar lo hagan con un ingreso digno ,Pensión ley 97 para tener nuevamente derecho una pensión,CDMX,2
Más gas natural para que no se desperdicie y mejores combustibles para el pueblo,Qué nos den el apoyo a nosotros las personas de 60 años porque ya no nos quieren en los trabajos porque quieren gente joven y ya no quieren viejos,"Retomar la UNAM garantizar un lugar para los jóvenes crear planteles de la UNAM, Poli, UAM, Universidad Bienestar no es opción es una calidad pésima, mejoras para la UNAM.","Presupuesto para la salud, que nos traten dignamente para eso se necesita infraestructura","Generar la reforma de pensión, regresar nuevamente a la ley 97",CDMX,2
Crear leyes que protegen los recursos naturales estratégicos así como también todos los proyectos estratégicos,"Legislar para que sea ley cero impunidad, cero corrupción, multiplicar acciones, programas y políticas sociales en valores humanos",Dedicar 8% del PIB a la educación,Poner lugares para guarderías de niños y adultos que no se queden niños solos en calles y casas,"Que nos regresen el 10º transitorio, trato digno a los trabajadores de la salud",CDMX,2
"Celdas solares para iluminar los parques, los retornos, andadores utilizando energía solar","Unir a México en los BRICS y cambiar el modelo económico por el de Hamilton y ampliar la base trabajadora, crear infraestructura para impulsar el desarrollo y el comercio, bienvenidos los migrantes es mano de obra para el país",Aprender los programas propios de la ciudad como la recuperación de los aguas pluviales,Que bajen los precios en la canasta básica,Que se dé oportunidad a los jóvenes egresados de las universidades de adquirir empleos sin necesidad de tener años de experiencia,CDMX,2
Los proyectos eólicos necesitan mayor desarrollo tecnológico porque contaminan también la tierra de cultivo y no se producen alimentos para el pueblo hay que revisarlos,No más contratos leoninos,Más escuelas universidades para los jóvenes o personas adultas,"Que los programas si lleguen a las personas a tiempo, y que a los adultos mayores no los tengan haciendo colas, que cobren cuando puedan, hay gente enferma que casi no se puede mover","Un mejor salario para los profesionistas y mujeres, prestaciones ,más oportunidades",CDMX,2
"Petróleo, minas, tierra, agricultura, reforzar la soberanía de todo el país y sus riquezas naturales y respetar las culturas","Cobrar impuestos pero según sea la persona y sus ingresos, ver lo de pensiones para las nuevas generaciones",El Instituto Politécnico Nacional es patrimonio de la nación por lo que es necesario más unidades profesionales de su centro de investigación en todo el país,Asegurar la proporción de las pensiones,Programas de vivienda y es muy importante la organización y concientización,CDMX,2
"Que todas las propuestas a, b, c  se presenten como proyectos de ley",Votar y  ganar las cámaras para seguir adelante,"Desarrollar e implementar la ley de humanidades, ciencias y tecnología e innovación","Promover la colectividad del bienestar social en las familias, bienestar de salud, educación para adultos con becas",Qué se abran las bolsas de trabajo para mujeres jefas de familia donde labores cuatro o cinco horas ya que no hay que descuidar a los hijos,CDMX,2
Que todos los proyectos sean a nivel nacional para aprovechar todos los recursos naturales teniendo presente no afectar el medio ambiente,La reforma fiscal se debe valorar a partir de la segunda mitad del sexenio para optimizar las oportunidades que aún estén existen. Respeto al cobro de impuestos a los grandes contribuyentes que aún no pagan impuestos. Más economía social  y desarrollo de cooperativas,"Que no se metan en la autonomía de la UNAM, y que dejen de ideologizar en los libros de texto",Pensión a Millennials y vivienda,Que los sindicatos cumplan con su trabajo ,CDMX,2
"Impulsar el Plan C ,es lo principal que se promueve porque sin éste no se podrán realizar las reformas constitucionales: reforma judicial reforma energética etc.",Impulsar la economía solidaria a través de apoyar cooperativas y empresas pequeñas,Que este nuevo paradigma permee todas las estructuras en todos los niveles de la administración pública y de las instituciones,Aumentar el monto de las becas bienestar,La ama de casa  trabaja sin  ninguna remuneración que se implemente la tarjeta Rosa nivel nacional,CDMX,2
Asegurar que en el futuro todos los desechos de estos artículos para la energía eléctrica limpia no afecten a nuestro planeta,"Cero corrupción en todos los niveles , aumenta  la confianza a los inversionistas","Corregir el concepto aplicación de autonomía,legislar la supervisión de fondos que proporciona el gobierno a la investigación científica. La NASA recupera el 1000% de lo que invierte, ¿y la fuga de cerebros? ","Blindar de otras formas el presupuesto para los programas sociales, sensibilidad social y presupuesto para nuevos organismos ccomo BANAVIM del CONAVIM que surge con este nuevo gobierno",Implementar o proponer una estabilidad laboral para las generaciones que no tienen derecho a una jubilación,CDMX,2
"Ampliar esta estrategia aprovechando todo el territorio nacional así como se aprovechó el territorio del desierto de Sonora, ya que contamos con desiertos costas, selvas etc. todo nuestro territorio es luz el 90% del tiempo así como dar justicia social y económica todos a todos por igual y no sólo los estados del norte ¡TESLA!",Solicitar un porcentaje de recursos a las grandes empresas millonarias para contribuir a proyectos para combatir el hambre y la pobreza,Ante todo impulsar la educación pública,Una cuenta bancaria personal para el trabajador por parte del patrón para garantizar el futuro de vejez del trabajador porque el Afore es un fraude,Dar oportunidad a los jóvenes que tienen  poca experiencia porque solamente hay trabajos que necesitan mucha experiencia,CDMX,2
Que sea a nivel nacional lo de las celdas solares,"Control de precios, sin esto los empresarios  suben los precios a su antojo y evitan el beneficio del aumento del salario, sobre las Afores que las retome el Estado, no privados y que sea en el banco del bienestar","Regularizar a los docentes del IPN,muchas veces por su sindicato ,imparten sus clases muy deplorables y son inmunes",Mejorar los programas sociales y blindarlos bien ante cualquier ataque ," Reglamentar a los sindicatos, los dirigentes se eternizan y enriquecen, control de precios para que el salario recupere valor adquisitivo",CDMX,2
"Erradicar el huachicol, invertir en más refinerías que beneficien a Centroamérica y Latinoamérica, impulsar la cultura del bienestar o el estado de bienestar","Qué grandes empresas extranjeras paguen impuestos y así haya en el país más fuentes de trabajo y buenos salarios , también hacer más presas para recolectar agua para beneficio del campo","Promover los principios básicos que rigen en nuestro movimiento como ""por el bien de todos primero los pobres"" lo cual representa lo mejor de la tradición del humanismo mexicano de la historia mexicana","Capacitación para el trabajo en oficios y arte urbano, debe llegar a todas las alcaldías, enfocarse en las colonias donde la delincuencia ha secuestrado a nuestros jóvenes",Podemos aceptar las industrias extranjeras pero no permitir la corrupción de sus pólizas,CDMX,2
"Construir una ampliación en la refinería de Dos Bocas para producir, refinar gasolinas a nivel internacional, impulsar facilidades para compra de celdas fotovoltáicas y calentadores solares a nivel nacional","Impulsar las cooperativas de producción, consumo, ahorro y préstamo con enfoque de economía social y solidaria, y regularizar el comercio informal",Qué se den las becas a nivel superior,Oportunidades de empleo a mujeres de 45 años con buenos sueldos y a la gente discapacitada,"Establecer un salario proporcional entre el capital del empresario y el capital fuerza de trabajo del trabajador, eliminar la discriminación por edad",CDMX,2
Que el gobierno se haga cargo de toda la energía para aprovechar en el desarrollo de todos los estados de la República mexicana para el beneficio de la sociedad,Recuperar todas las paraestatales e industrias de México,Impulsar proyectos de investigación que mejoren la situación ambiental como por ejemplo la sustitución del plástico por material sustentable,Que abran básculas públicas en los tianguis,"Trabajo para personas de todas las edades, más oportunidades para el pueblo, impulsar con inversión a las cooperativas, realizar sindicatos para jóvenes",CDMX,2
Tenemos primero que sacar a todos los del poder judicial porque no hacen su trabajo, Ante todo impulsar la educación pública,Universidades para las personas de la tercera edad,Crear más proyectos de integración social,Que a la gente de 53 o más le abran oportunidades de trabajo porque tenemos mucha experiencia para trabajar,CDMX,2
"Los paneles son grandes ideas también las corrientes de agua usar las corrientes de energía que se creen el aire, hay que implusarlas",Afianzar las políticas de combate a la corrupción para generar confianza en la instalción  de las empresas e inversionistas con un fin socialmente responsable en territorio nacional,"Estímulo y apoyo a los estudiantes, nuevas oportunidades y apoyo a los científicos","Exigir a las empresas para que sean socialmente responsables para mejorar los ambientes laborales, apoyo  para las personas amas del hogar",Que les pidan cuentas a la sindicatos,CDMX,2
