Pueblos originarios y afromexicanos,Medio ambiente,Campo y autosuficiencia alimentaria,Estado,Distrito
Una ley que proteja a todas las comunidades indígenas.,En lo inmediato generar políticas públicas que fomenten el tratamiento de aguas residuales y mayor aprovechamiento de las aguas pluviales.,Con el programa sembrando vida se dan semillas y fertilizantes y plaguicidas para ayudar a los campesinos.,CDMX,1
Que se haga una ley para proteger más a los indígenas y que le pongan más atención a los pueblos indígenas.,Seguir profundizando en la conservación del medio ambiente en relación al uso de plásticos y al igual el papel para no seguir con la tala de árboles. Muy en primer lugar el cuidado del agua,"Se ha eliminado gran parte de la corrupción en el campo, sin embargo se necesita más información para que los agricultores tengan acceso al programa.",CDMX,1
Realizar programas con fines de arraigo y pertenencia a los pueblos originarios y establecer normas para que nuevos colectividades o comunidades arraiguen y nazcan nuevas comunidades originarias.,Nueva ley de aguas nacionales. Aplicar la ley minera en toda su extensión.,Hace falta abastecerles de agua y fertilizante semillas y apoyo mutuo gobierno y campesinos para sus siembras y sobre todo los campesinos vender a precio accesible sus verduras.,CDMX,1
"Que se consoliden sus derechos en  la Carta magna, reformar los artículos correspondientes para realmente respetar los derechos indígenas.","Que el ser humano aprenda a vivir con la naturaleza, que cuide y sustraiga alimentos sin destruirla para que el planeta dure miles de años.",Falta por hacer y preocuparse por los campesinos las milpas y apoyo.,CDMX,1
Que se respeten sus dialectos y que se les escuche.,Que se haga una ley más dura o más severa a los tala montes y empresas que contaminen los mares y ríos.,Se ha hecho el programa sembrando vida el cual ha beneficiado mucho a los pueblos y estados. Se debe crear mayor inversión para seguir produciendo y transportando.,CDMX,1
"Leyes que sancionen a quien haga discriminación con la comunidad indígena, fomentar nuestra verdadera lengua náhuatl.",Medidas más enérgicas a quienes descarguen aguas residuales a ríos arroyos y manantiales.,Ayudando mucho a los pueblos para sembrar con proyectos y mejorar los sembradíos.,CDMX,1
Evitar la migración de sus lugares de origen a las grandes ciudades donde se discrimina totalmente.,Que se haga conciencia del cuidado a los árboles a nivel nacional. No tirar basura en la calle.,"Apoyo a adultos mayores, becas escolares, apoyo de alimentos. Extender los apoyos al estado de México.",CDMX,1
Hacer campañas o también enfocarse en que más personas sobre todo adolescentes  o niños les llame la atención hablar alguna lengua.,Resolver nuestros problemas como mexicanos y no atacarnos entre nosotros mismos. No más gringos ni canadienses que nos despojan.,Apoyado a los campesinos con programas a la siembra.,CDMX,1
Seguir fortaleciendo los programas sociales y la protección de sus tierras y salvaguardar su integridad.,Cuidar el medio ambiente y no tirar basura. Hacer reúso del agua.,El presidente Andrés Manuel López obrador ayuda a los campesinos con el programa sembrando vida.  Hace falta más programas sociales para los pueblos que más lo necesitan y combatir la corrupción y el crimen organizado.,CDMX,1
"Fortalecer los pequeños negocios para ser autosuficientes aquí en nuestro país, nuestro querido México.",Tiempo para las aguas residuales.,Le han dado apoyo a la ciudadanía para seguir cultivando. Hacer huertos en los hogares y dar recursos para seguir produciendo.,CDMX,1
Tener libertad sobre el desarrollo social.,"Hacer más conciencia para apoyar a los y las fábricas que no contaminen, así estaremos más sanos, no a las empresas que contaminen, sí a las áreas verdes.","Con el programa sembrando vida dan inicio de recuperación de reactivar la vida en el campo, asimismo es parte de los programas que reactivarán la economía rural en el campo.",CDMX,1
"Integrar de manera política social y económica, en comunión con el medio urbano para una cohabitación homologada.",Establecer normas en regiones urbanas para que se promuevan y restablezcan zonas ambientales en las comunidades citadinas.,"El programa sembrando vida ha dado buen resultado para los agricultores, propongo no quitar el programa.",CDMX,1
Reforma constitucional del artículo segundo para que los pueblos indígenas sean reconocidos como sujetos de derecho público fundamental para que los pueblos indígenas alcancen verdadero desarrollo desde su autonomía.,"Hacer conciencia sobre la limpieza y cuidado de nuestras áreas, hacernos responsables. Cuidar las áreas de incendios.",En la ayuda que les dan para que sigan sembrando.,CDMX,1
Ayudar más al pueblo.,Educar a la población para que no tiren basura para todos lados y aplicar sanciones.,Ayudar al pueblo a la comunidad sobre acciones y abastecerlos sobre la pobreza.,CDMX,1
"Fomentar y recuperar nuestras raíces, apoyándonos con nuestros padres abuelos para inculcar a los hijos.","También es necesario implementar programas o acciones que prevengan este tipo de situaciones, aplicando las leyes existentes realmente.","Los precios de los productos están muy altos, el campo tiene muy poco apoyo, de lo demás desconozco, pero se debe dar apoyo al campo y los alimentos.",CDMX,1
Llevar educación a los pueblos originarios y programas sociales a favor de los pueblos.,Legislar acerca del uso del agua  por parte de las empresas que gastan muchísima agua y aplicarle sanciones reales a estas empresas que gasten demasiada agua.,"Ha quitado todos los alimentos transgénicos, a ayudado al campo con apoyos para proyectos del campo, les ha dado apoyo para que no dejen de sembrar ni que vendan sus tierras a extranjeros.",CDMX,1
"Desde mi perspectiva aunque no domino la información respecto al tema, considero dar más estímulos a los campesinos al tiempo qué promueven sus productos localmente y sus alrededores cercanos y lejanos. No esperar las ventas enormes, la promoción s básica. Si una nación no es autosuficiente está destinada al fracaso y pobreza trayendo retraso en el desarrollo. También es urgente cuidar el tema del agua para no privilegiar a las empresas transnacionales y nacionales.","Que se integren máquinas dónde se recolecte pet, vidrio, cartón, etcétera, por una cantidad de dinero y fomentar el reciclaje.","La 4 T comenzó con apoyos directos a los campesinos sin intermediarios y crear programas como el de sembrando vida pensando en las características ambientales de cada región. Continuidad de la 4 t serían más apoyos directos a los campesinos; cooperativas para la elaboración de alimentos directos ""del campo a la mesa""; registro de nuevas semillas frutos y verduras nativas para reconocimiento de origen; Kermeses-kioscos con cultivadores en zonas céntricas para promover sus productos (consumir 100% nacional).",CDMX,1
Lo más importante es ver el problema del agua para la agricultura de los campos a nivel nacional y pueda crecer el nivel de los campesinos .,"Que apoyen con cuidar todos los recursos naturales como el agua, el medio ambiente la vegetación, que sea una educación importante en cada ciudadano que ayudaría mucho.","Vamos por buen camino con los programas que se llevan a cabo actualmente, llega directo al campesino sin intermediarios, ojalá y continúen con el mismo proyecto de nuestro amado presidente que aún quedan algunos mañosos en el gobierno en especial en las comunidades más alejadas hay municipios que requieren ayuda y el cambio.",CDMX,1
"Ha eliminado en parte la corrupción en el campo, sin embargo falta mucho por avanzar en el tema, se requiere mayor información para que los campesinos puedan tener acceso a los programas en forma directa y no haya intermediarios y de esta manera poder continuar con la siembra y empezar a mover la economía local.",Desarrollo tecnológico que haga más eficiente la utilización de energía.,Ha implementado varios programas para los agricultores. Hace falta más programas para la gente de bajos recursos.,CDMX,1
Proveer de agua a todas las tierras de cultivo a nivel nacional y de fertilizantes. Asegurar el precio del producto de siembra para que no a se abandone el campo.,"No tirar basura en la calle, no desperdiciar el agua.","A estado Proporcionando  fertilizantes para la siembra de maíz y el programa sembrando vida para siembra de árboles frutales y maderables crea una aportación de $5,000 pesos por cada persona qué interviene en este programa, en estos programas debe mantenerse la siembra de verduras para complementar la alimentación de las familias.",CDMX,1
Se aplica el programa sembrando vida en el país. La organización colectiva como fundamento. Tener el contacto como un fundamento con los ingenieros agrónomos para lograr ampliar el proyecto del campo.,Conciencia no tirar basura darle mantenimiento a la biodiversidad.,Ayudar sin intermediarios.,CDMX,1
"Se necesita reformar el artículo 27 constitucional, para que se frene la venta de tierras ejidales que la tierra siga perteneciendo a los campesinos, crear una escuela que se dedique a crear ingenierías para el campo.",Mayores sanciones a quien dañe el medio ambiente.,"Este sexenio ha metido más apoyo al campo, ha subsidiado más rubros. Desde mi punto de vista hace falta organizar a todos los pequeños productores a nivel nacional, consolidar una base de datos a nivel nacional con relación a los productores y sembradores, los dueños de la tierra básicamente esto es para medir los resultados a corto plazo y que los recursos no salgan del Estado sin algún fin o sin algún parámetro de medición.",CDMX,1
"El gobierno ha impulsado apoyos y programas para el campo como, sembrando aún hay muchorezago y falta de recursos para lograr completar el objetivo con las y los campesinos.",Sanciones severas a las empresas nacionales e internacionales qué hagan mal uso de los recursos ambientales.,"Los ha apoyado económicamente para la producción de alimentos en hortalizas, maíz, frijol, etcétera. Falta el aumento de clínicas médicos y medicina en general",CDMX,1
Hace falta dejar de importar del extranjero recursos los cuales producimos.Invertir en infraestructura para el campo. Necesitamos producir nuestros propios fertilizantes. Apoyar al campesino. Luchar contra el narcotráfico que impide la libre venta de ciertos productos.,Que paguen impuestos para evitar la contaminación y reciclaje de botellas y otros residuos.,El gobierno ha apoyado económicamente a los campesinos  y agricultores dándoles un apoyo.  Faltaría buscar más campesinos que necesiten apoyo ya que varios no los reciben .,CDMX,1
Más apoyo al campo con sus programas que llegue a todos. Está muy bien el programa de sembrando vida.,,Se ha eliminado parte de la corrupción en el campo sin embargo se requiere información para tener un conocimiento más amplio sobre los temas .,CDMX,1
Le ha brindado ayuda a los campesinos con fertilizantes. Ser mejor pagados en la cosecha ya que los campesinos son menos pagados y consumir más alimentos naturales.,,"Apoyar a los campesinos aunque otras personas les andan cobrando el fertilizante, pero sí les dan el fertilizante no les dan el material que ocupan.",CDMX,1
La creación del proyecto sembrando vida es un proyecto al que se le debe dar continuidad. El agua que sea primero para el campo después los ciudadanos y por último las industrias. Es necesario apoyar a las mujeres jóvenes y adultos mayores campesinos con programas.,,Seguir ayudando al campo y los campesinos pero sin intermediarios. Más protección en esta sierra de Guadalupe ya no más construcción urbana en sus faldas; sanciones ejemplares a quien ocasione incendios con fines de lucro.,CDMX,1
Que se establezca un precio justo al maíz y fertilizantes. Que se asegure un pago justo al campesino y a los trabajadores del campo.,,El gobierno ha hecho inversiones en los campos de México y los campesinos para mi opinión es proporcionarles gratuitamente los fertilizantes y hacer presas para regar sus tierras .,CDMX,1
"Se debe continuar con los programas federales enfocados al rescate del campo, se debe apoyar más al campesino, invertir en insumos para que el campo produzca. Necesitamos ser autosuficientes y en lugar de importar ser exportadores el campo debe ser un eje se debe de crear una secretaría exclusivamente para ese sector.",,Me gusta el apoyo que les ha dado a los campesinos con el programa sembrando vidas.,CDMX,1
,,Ha apoyado a los campesinos con programas para la siembra y dándoles apoyo monetario y fertilizantes.,CDMX,1
,,Programa sembrando vida. Fomentar la producción.,CDMX,1
,,"La 4T encabezada por el licenciado Andrés Manuel López obrador implementó programas que impulsan la actividad económica y ambiental de toda la zona rural a lo largo y ancho del país, ""sembrando vida"" sin embargo se requiere que se garantice su consumo, Por lo tanto es necesario la creación de empresas paraestatales que garantice compra y un precio justo, y pasar de la mono producción ha la multi producción.",CDMX,1
,,"Lo único que se puede hacer es quitar a los intermediarios, dicho mejor a los coyotes que son los que le dan en la torre a los campesinos.",CDMX,1
,,"Acotar por medio de programas las distancias. Impulsar huertos urbanos, reduciendo  la huella de carbono e impulsar el cuidado de zonas protegidas para el cuidado de la naturaleza.",CDMX,1
,,,CDMX,1
Como gobierno asumir una Unión entre pueblos originarios como lo son los pueblos afrodescendientes es decir que se consolide una sola identidad,Regular El reciclado de las llantas con el fin de evitar que se tiren en las calles,Suministro efectivo de fertilizantes gratuitos que apoyan a la producción del campo del bienestar5,CDMX,2
 Promover el orgullo cultural de los pueblos originarios con el fin de generar identidad en las comunidades y evitar la gentrificación en áreas originarias,Implementar multas a las personas que tiren basura en la calle y que no recojan las sesiones de sus perros o mascotas,Evitar la intermediación de coyotes y vendedores del campo,CDMX,2
Incentivar mucho el apoyo hacia la mu....endo víctima del machismo y violencia,Fomentar el reciclado de ropa,Generar que cada estado Produzca sus alimentos agro con el fin de evitar la dependencia extranjera y así poder tener una mejor economía dentro de las colonias municipios y estados,CDMX,2
Incentivar más el apoyo hacia las comunidades indígenas que realmente están alejadas y marginadas,Cuidar y regular el tema de contaminación para evitar enfermedades,Más distribución en la economía,CDMX,2
Apoyar a la mujer indígena y empoderarla,Complementar otras estrategias de reciclado y reutilización de los objetos y residuos,Generar eficiencia alimentaria misma que no se generó en los sexenios pasados,CDMX,2
Promover en medio de comunicación el respeto a los pueblos indígenas,Evitar los desechables aplicando políticas que reactiven el uso de envases retornables para evitar el desperdicio del consumismo,Generar caminos de vialidad con el fin de comunicar más a los pueblos a los campesinos y a los trabajadores del campo con el trabajo y con la venta de su producción,CDMX,2
Acabar con el racismo machismo y todo tipo de fobias que generan los pueblos indígenas ya que las leyes nacionales dictaminan una cosa y los usos y costumbres dictaminan otra cosa,Persuadir a la población a cuidar el agua y el medio ambiente,Apoyar más a la gente de las provincias I de los lugares más marginados con el fin de evitar la migración o inmigración que genera violencia,CDMX,2
Apoyar más las áreas de interculturalidad,Concientizar a las personas con difusión cultural para si ir tan rojo de basura a las calles,Apoyar a los trabajadores del campo con capacitación constante con el fin de Generar eficacia dentro del campo,CDMX,2
Que se promocione la educación indígena y que se remunere de buena forma a los servidores que brindan educación indígena con lenguaje nativo,Promover mas el uso de bicicletas como transporte en la ciudad,Generar y promover más derechos para los trabajadores del campo ya que su salario está por debajo del salario mínimo estipulado,CDMX,2
Crear y desarrollar cooperativas para fortalecer el desarrollo de sus regiones,Utilizar en las nuevas calles secciones o partes con materiales permanables que permitan el filtrado del agua de lluvia al suelo y Desazolvar las coladeras,Que los campesinos sean beneficiarios directamente de sus cosechas y no haya intermediarios ,CDMX,2
Generar más trabajo en las comunidades indígenas para que no necesiten migrar de sus lugares de origen,Generaron una campaña o mega campaña nacional en todos los medios de comunicación influencers y redes sociales con el fin de generar conciencia ambiental,Generar cooperativas en cada comunidad para vender sus productos a un buen precio y así evitar el intervencionismo por parte de terceras personas,CDMX,2
Crear más oportunidades de trabajo y educación,Regular a las industrias y fábricas contaminadoras de la ciudad,Generar trabajo en las provincias en los estados para así evitar la migración y la fuga del talento campesino,CDMX,2
Conectar más a los pueblos originarios y afrodescendientes con los medios de comunicación para que se visualice la normalidad de nuestras comunidades,Promover el uso de energía solar como en transportes y para el consumo de energía de las casas,Pagar justamente la mano de obra al campesino y apoyar con especie o económicamente a mismos trabajadores mediante programas sociales,CDMX,2
Que en las mañaneras se dedique un espacio para hablar de pueblos originarios y afromexicanos,Castigar severamente a los que maltratan a los animales,Generar más programas sociales que engloben a todo el campo,CDMX,2
Generar trabajos que ayuden Al control de migración en los pueblos originarios,Dar o promover materias de civismo en las escuelas con estudiantes y padres de familia para cuidar más nuestro entorno en las unidades habitacionales colonias comunidades etc,Se debe de implementar la promoción de la inversión nacional al campo,CDMX,2
Dar más seguridad a hombres y mujeres y niños En comunidades afroamericanas de la costa de Oaxaca,Generar un proyecto de regulación de aguas a empresas privadas en donde se conserve el agua y se aproveche de mejor forma,El campesino que siembra y cosechas su producto debería ser el mismo que lo venda al mercado nacional,CDMX,2
Que se creen más universidades en comunidades donde existan pueblos originarios y afromexicanos,Capacitar a la población en general con huertos urbanos,Que se brinde de herramientas y materiales necesarios a los trabajadores del campo con el fin de generar producción de maíz y así lograr ser autosuficientes,CDMX,2
Brindar más transporte de calidad a los pueblos originarios ya que la tecnología en cuanto a transporte no ha beneficiado y esto genera costos elevados por transporte,Detener la expansión de poblaciones en áreas protegidas como cerros etcétera,Una buena política de seguridad alimentaria sería evitar el consumo de derivados de maíz como cereales extranjeros que solamente dañan y causan problemas de salud,CDMX,2
Evitar que se gentrifique mucho los lugares donde asientan los pueblos originarios y afromexicanos,Promover la salud en personas que dep....el trabajo de recolección de residuos,Limpiar las áreas de trabajo campesino como ríos y zonas aledañas con el fin de generar mayor salud y mayor confianza en los alimentos,CDMX,2
Castigar de manera efectiva a aquellos que se burlen y discriminen a nuestras comunidades originarias,Profundizar los cuidados del medio ambiente en la cultura general de la nación,Que el gobierno se dedique también a promover la inversión del campo con los connacionales y población nacional dentro del país para así poder dar visualidad a la inversión del campo mexicano,CDMX,2
, Generar medidas de reutilización en todos los aspectos de consumo indesechables,Bajar el costo de los impuestos por fertilizantes y herramientas que requieren los trabajadores del campo,CDMX,2
, Crear brigadas que supervisen Las comunidades y colonias para así poder tener limpieza en cada una de nuestras localidades,Dar la oportunidad a Chapingo que se haga cargo De investigar y analizar semillas mexicanas que puedan dar eficiencia y autosuficiencia alimentaria sin generar daños en la salud,CDMX,2
,Crear campañas de concientización para retirar basura de todo lugar ,Eliminar al máximo a los intermediarios que extorsionan y defraudan a los trabajadores del campo,CDMX,2
,Generar que las industrias participen continua y activamente con Brigadas para la limpieza de las calles ríos y prohibir a las industrias textiles la contaminación de los ríos,Establecer precios en la alimentación básica para así poder tener un control más eficiente en la economía de los pueblos,CDMX,2
,Poner más contenedores de basura y desechos para así evitar que se tire el basura en las calles,Buscar la soberanía real alimentaria,CDMX,2
,Reformar las empresas de la industria fabricante con el fin de actualizar las mecánicamente obteniendo así menor contaminación posible,Continuar con los apoyos directos al campesino productor,CDMX,2
,Generar campañas de forestación en todo El País y no sólo sembrando vida,Constatar con auditorías que los programas del campo realmente están beneficiando a los más necesitados,CDMX,2
,Trascender a una economía de retalización y reciclaje,Promover la reactivación de azoteas y patios con el fin de generar huertos urbanos apoyados de la tecnología,CDMX,2
,Tratar de centralizar las industrias a otros estados con el fin de reubicar las condicion....esa o fábrica con el Fin de generar eficacia de producción....urales destinados para la vida humana,Proporcionar y financiar fertilizantes al campo también en materia de agua y capacitar al campesino para que no sea malbaratada la compra de sus cosechas,CDMX,2
,Prohibir el uso de desechables como bolsas de plástico vasos de Unicel platos cuchara tenedores etc,Bajar un poco más el costo de la canasta básica y reciclar el agua,CDMX,2
,Generar conciencia en lo colectivo y en lo individual con el fin de erradicar el arrojamiento de basura excesivo y consumo de plasticos desechables,Mejorar el salario de los campesinos mejorar el pago de las cosechas e incentivar a los agricultores para que sus cosechas sean sustentables y ecológicas,CDMX,2
,Concientizar al pueblo para que no sea consumista y planear mejor sus gastos así reducirá nuestra huella ecológica,Fortalecer el campo mexicano y evitar la migración,CDMX,2
,Fomentar valores desde la casa que incentiven la procuración y preocupación por el medio ambiente,Aumentar el programa de huertos familiares granjas urbanas y capacitación en los mismos,CDMX,2
,,Enseñar a la ciudadanía en cultivar y cosechar en asutearas y patios y en los campos ayudar con capacitación y tecnología,CDMX,2
,,Aumentar el programa sembrando vida no solamente en los campos rurales Sino En la plantación de árboles frutales en ciudades,CDMX,2
,,Cultivar nuestros propios alimentos en casa con técnicas de hidropolia etc,CDMX,2
,,Crear granjas verticales con el fin de reducir el uso de espacios y contaminacion,CDMX,2
,,Se debe de apoyar a los campesinos con conocimiento tecnológico y herramientas que ficenten su producción,CDMX,2
,,El gobierno mexicano debe de invertir más en apoyos para el campo con el fin de generar una promoción de cultivo y con ello lograr obtener en un futuro a corto plazo la autosuficiencia alimentaria de cada comunidad,CDMX,2
,,Y llevar agua a todos los rincones de las zonas rurales desprotegidas,CDMX,2
,,Crear centrales de abasto sucursales en donde el productor directamente el que cosecha venda sus productos y así evitar el que exista alguien intermediando,CDMX,2
,,Promover la investigación y creación de una nueva semilla mexicana de maíz mexicano donde sea resistente pero no genere daños genéticos,CDMX,2
,,Generar más recursos y herramientas a....ver el apoyo al campesino y campesino,CDMX,2
,,Apoyar con créditos a los campesinos para la compra de materiales y así poder empezar a explotar las tierras,CDMX,2
,,Crear infraestructura para el pueblo del campo,CDMX,2
,,Regular precios así como regulan todo lo que tiren los restaurantes y tiendas de autoservicio que tiran mucha comida buena,CDMX,2
,,Generar más apoyos a los campesinos como los programas sociales,CDMX,2
,,Que el gobierno distribuya semillas mexicanas semillas naturales de maíz y así lograr quitar el maíz amarillo transgénico,CDMX,2
,,Incrementar las escuelas en los campos en áreas rurales con el fin de llevar educación y conocimiento a estas comunidades,CDMX,2
,,Establecer un sueldo a los jornaleros campesinos como a nivel nacional se hace,CDMX,2
,,Distribuir más información en materia....cia alimentaria en personal del campo,CDMX,2
,,Traer tecnología de punta a México para así poder explotar al campo mexicano,CDMX,2
,,Atender toda propuesta de investigadores que quieran mejorar la producción del campo mexicano,CDMX,2
,,Promover la ciencia y tecnología en las áreas rurales del campo con el fin de obtener mejores cosechas,CDMX,2
Atender la problemática de la deforestación indiscriminada,Que ya no tiren tanta basura en los ríos y coladeras. ,Mayor vigilancia los programas,CDMX,3
Que se reconozca su trabajo y cosecha,Más seguridas y alumbrado.,El gobierno protege más a los campesinos,CDMX,3
Con información atención y diálogo basado en el respeto se podrá continuar el cambio que ha marcado el presidente,Crear más empresas de reciclaje.,Ampliar los programas,CDMX,3
Es importante observar las propuestas de la mecanización de la composta,Dar un manejo adecuado a toda la basura.,Ampliar los programas,CDMX,3
Respetar los derechos de todos,Cumplir con la implementación de las leyes en menor escala (vecinos) y en mayor escala (empresas),Unir al pueblo,CDMX,3
Tratar a este grupo con respeto a su dignidad,"Difundir en diferentes medios para conscientizar a la gente que deje de contaminar, que no tiren basura y recojan las heces de sus mascotas.",Ampliar los programas para que lleguen a las personas que aún no tienen,CDMX,3
Llevar a cabo un control externo de verificación para garantizar que reciben los beneficios de los programas sociales,Sembrar mas arboles y plantas.,Honestidad y trabajo,CDMX,3
Frenar el cambio de uso de suelo rural área natural protegida tierras de cultivo es necesario prioritario proteger la tierra de cultivo,Construir una comunidad más participativa y ampliar el buen recurso.,Asumir que el campo es multidimensional,CDMX,3
No a los hoteles y casas en serie que destruyan el medio ambiente,Reforzar el cumplimiento de la normatividad ambiental a la industria a través de auditorias periódicas. ,Apoyo al campo con problemas estratégicos operados de manera directa y sin intermediarios,CDMX,3
Retomar lenguas muertas en la escuela como es el náhuatl para nosotros,Protección a defensores y defensoras del medio ambiente. ,Anular los transgénicos,CDMX,3
Generar espacios de trabajo para fortalecer las lenguas originarias de manera transversal,Más zonas verdes. ,Hace falta honestidad e información,CDMX,3
Brindar espacios de debate para conocer a las y los ciudadanos de los pueblos originarios,Evitar la contaminación de los desechos de los perros. ,No más hacendados tiranos y represores,CDMX,3
Impulsar en la población el conocimiento de las lenguas indígenas originarias para conocer más profundamente estos pueblos,Fortalecer y apoyar de forma directa a los campesinos y agricultores con fertilizantes y agua a precios bajos. ,Que se aplique efectivamente la ayuda al campo,CDMX,3
Las personas de los pueblos indígenas son muy inteligentes hay que escucharlos y apoyarlos,Tener los parques en buen estado siempre. ,Más árboles y menos tala,CDMX,3
Necesitamos que no nos falte el agua,Contenedores para las pilas y electrónicos. ,Quitar acaparadores alimentarios,CDMX,3
Crear un apartado especial para la Ciudad de México que garantice los derechos de los pueblos originarios,Que siga la 4ta transformación. ,Precios de garantía,CDMX,3
Desarrollo de políticas públicas para los pueblos originarios de la ciudad e incluir a los de azcapotzalco y gamma,Más y mejor transporte público. ,Producir plantas de fertilizantes,CDMX,3
No dejar que se pierdan las raíces y tradiciones conservar pueblos mágicos y respetar su raíces,Más sonidos callejeros. ,Supervisar para que no se descuiden los programas ya establecidos y reforzarlos,CDMX,3
Difundir los legros de este gobierno en cuestión de pueblos originarios y afromexicanos del sur de México,Más y mejor transporte público. ,Que los pequeños productores vendan sus productos,CDMX,3
No queremos más gentrificación,Campaña de conscientización para que no se dejes las heces de las mascotas.,Acabar con los terratenientes,CDMX,3
No más mafia inmobiliaria,Robarle 10 cm x 30 cm a cada banqueta por casa para reforzar los mantos acuíferos. ,Más apoyo en fertilizantes,CDMX,3
